gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
PIP4P2	0.0535	0.0037	0.0291	0.0131	0.0647	0.2018	0.2298	0.0036	0.2836	0.2963	0.0144	0.0000	0.0123	0.0228	0.0738	0.1102	0.1950	0.1029	0.1190	1.4132	0.1028	0.0000	0.0005	0.0567	0.0743	0.0051	0.0465	0.2450
OTUD6B	0.1961	0.0638	0.1601	0.1835	0.1456	0.2184	0.1532	0.0868	0.1485	0.1177	0.2213	0.0677	0.0948	0.1677	0.1966	0.2393	0.0744	0.3710	0.2693	0.0846	0.3319	0.1223	0.0332	0.0718	0.2018	0.1309	0.2820	0.2239
CDK19	1.1260	0.8296	0.3621	0.2471	0.2655	0.9337	1.2172	0.6845	0.7748	0.6562	0.4204	1.4482	0.2299	0.8395	0.3947	0.4781	0.5372	0.6202	1.0836	0.1265	0.9271	0.7907	0.0575	0.2283	0.6907	0.5671	1.6464	0.4613
GTF3C6	0.4072	0.2173	0.5755	0.8109	0.3035	0.3741	0.6013	0.2567	0.3025	0.2858	0.6097	0.1354	0.9057	0.1232	0.4987	0.4063	0.4640	0.5297	0.1230	0.9304	0.1495	0.3441	0.9588	0.2331	0.3503	0.6832	0.2527	0.6074
TTC39B	0.1033	2.1064	0.2751	0.2120	0.2591	0.1321	0.6681	0.5930	0.1221	0.2398	0.2259	0.0000	0.2379	0.6822	0.5344	0.1902	0.0101	0.2860	0.0679	0.2468	0.8345	0.9545	0.1779	0.0507	0.4762	0.4110	0.1744	0.3252
AGPAT5	0.8477	0.1600	0.5459	0.3510	0.4167	0.2728	1.2593	0.3262	0.1752	0.0991	0.9675	4.6625	0.4715	0.1511	0.3117	2.9104	0.0402	0.2081	0.1958	0.1126	1.1779	0.0855	0.3038	0.1592	0.5452	0.6125	0.4134	0.3918
MMS19	0.3849	0.0808	0.3131	0.2455	0.1868	0.1674	0.0450	0.1442	0.1461	0.1545	0.3378	0.5100	0.1140	0.2136	0.2269	0.2905	0.0466	0.2116	0.1950	0.0443	0.5970	0.3692	0.1291	0.2457	0.3995	0.1966	0.3318	0.1587
OR4K1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PI4K2A	0.0608	0.0368	0.0743	0.0815	0.0621	0.2809	0.1328	0.0576	0.1151	0.1391	0.0793	0.0000	0.0311	0.0461	0.0801	0.0348	0.0178	0.3216	0.1402	0.0525	0.0342	0.0855	0.0598	0.0339	0.0738	0.0461	0.0391	0.0522
MARVELD1	0.0010	0.0139	0.0029	0.0014	0.0900	0.0932	0.0329	0.0609	0.4778	0.1797	0.0011	0.0000	0.1031	0.1353	0.0030	0.0000	0.0487	0.0684	0.0412	0.1016	0.0000	0.0000	0.0403	0.0055	0.0050	0.1098	0.0183	0.0259
ZFYVE27	0.4068	0.3694	0.3366	0.3408	0.3132	0.1251	0.2619	0.3121	0.1971	0.1336	0.4074	0.3528	0.1736	0.2522	0.3102	0.3933	0.1375	0.1335	0.2267	0.0833	0.4800	0.2785	0.0861	0.1231	0.4310	0.2052	0.3096	0.4147
GOLGA7B	0.0005	0.0019	0.0085	0.0040	0.0036	0.0039	0.0195	0.0014	0.0471	0.0004	0.0082	0.0000	0.0002	0.0260	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0225	0.0000	0.0374	0.1532
GPR78	0.0000	0.0011	0.0007	0.0000	0.0019	0.0000	0.0000	0.0004	0.0000	0.0000	0.0007	0.0000	0.0001	0.0020	0.0000	0.0000	0.0009	0.0000	0.0054	0.0000	0.0000	0.0000	0.0002	0.0003	0.0000	0.0000	0.0127	0.0000
TRMT44	0.0922	0.0925	0.1179	0.1198	0.0742	0.0747	0.0391	0.0797	0.0687	0.0672	0.1242	0.2413	0.0570	0.1027	0.0516	0.0496	0.0542	0.0581	0.0745	0.0399	0.0730	0.0000	0.0208	0.0595	0.0933	0.1013	0.3192	0.2737
SLC25A28	0.2038	0.0754	0.1610	0.1725	0.3895	0.0861	0.0000	0.0852	0.4071	0.2583	0.1840	0.0000	0.1070	0.1204	0.2222	0.0799	0.0547	0.0958	0.1595	0.4042	0.1848	0.0000	0.0364	0.1163	0.1530	0.1557	0.3707	0.1383
HSPA13	0.2381	0.0585	0.3214	0.3474	0.1598	0.1785	0.0198	0.0294	0.5057	0.1589	0.2968	0.6810	0.0649	0.0563	0.3117	0.2749	0.3109	0.1421	0.1377	0.3342	0.2148	0.1582	0.0804	0.4735	0.2320	0.0805	0.0653	0.1951
SAMSN1	4.7919	0.0110	11.4489	8.3988	0.0918	8.2306	0.0000	0.0116	0.0835	0.1408	12.3154	4.1542	0.0157	0.0146	15.9702	5.1885	27.7491	9.7563	11.7546	0.0257	4.4991	7.1053	0.0000	2.0284	8.9159	0.1409	0.0143	0.0249
USP25	1.3959	1.0283	2.2703	1.7992	0.5771	0.9915	0.7894	0.8867	0.6279	0.8202	2.2696	2.0569	0.6303	1.4487	0.9917	1.4781	0.4475	0.6498	0.9868	0.4179	2.4470	1.1063	0.1912	0.4521	2.1453	0.8202	1.1783	1.8808
GRAMD2B	0.0753	1.9494	0.3590	0.1889	0.3847	0.4960	1.0168	1.5868	1.6137	0.3504	0.5543	3.1184	0.8011	0.9120	0.0709	3.1113	0.2196	0.5089	0.5773	0.3405	0.4278	1.6028	0.7633	0.0571	0.6240	0.9020	0.7158	1.1860
ZCCHC10	1.0400	0.4195	0.5497	0.5400	0.6903	0.5404	0.5943	0.3710	0.8240	0.6497	0.5949	0.0000	0.4354	0.5461	1.0218	0.6450	0.4044	0.5128	0.6911	0.4243	0.6019	1.3890	0.3092	0.2452	0.6005	0.5412	0.3379	0.2766
C16orf87	0.1741	0.0645	0.1498	0.1643	0.1638	0.1820	0.0358	0.0799	0.2680	0.1597	0.1641	0.1354	0.1640	0.0815	0.1364	0.1887	0.0773	0.1342	0.1376	0.1127	0.1796	0.3569	0.1326	0.2063	0.3474	0.1613	0.0668	0.1106
MOV10	0.0263	0.2480	0.0589	0.0753	0.1242	0.1106	0.1861	0.1574	0.1234	0.0601	0.0637	0.0000	0.0760	0.1718	0.0372	0.1061	0.0000	0.0277	0.1163	0.0000	0.2098	0.0000	0.1409	0.0184	0.1285	0.0969	0.2438	0.1572
RHOC	0.0769	1.5279	0.1856	0.2979	1.6907	0.3177	0.5892	1.0415	2.3107	0.6565	0.3906	0.0000	1.2658	0.5163	0.2543	0.4994	0.1031	0.1416	0.0733	1.8717	0.0043	0.2776	1.4100	0.0191	0.1177	0.6375	0.4408	0.4680
PPM1J	0.0023	0.0215	0.0003	0.0021	0.0016	0.0000	0.0000	0.0067	0.0117	0.0017	0.0030	0.0000	0.0091	0.0098	0.0029	0.0000	0.0000	0.0164	0.0000	0.0000	0.0000	0.0000	0.0000	0.0028	0.0000	0.0066	0.0000	0.0000
DBI	0.7994	1.1399	0.7810	1.3403	0.8508	1.5807	1.9042	1.8353	6.2976	0.9199	0.9637	0.0677	6.5468	0.8590	2.1855	1.3852	1.2267	1.5446	0.2997	1.8261	0.2282	1.5036	2.4613	0.5498	0.4931	4.8603	0.2614	2.4198
SLC16A1	0.2240	0.2054	0.7289	0.6650	0.6291	0.4116	0.0000	0.9677	0.7673	0.8926	0.8778	0.5489	0.3747	0.6465	0.1850	0.7714	0.1960	0.1772	0.4925	0.2285	0.6801	0.8898	0.4803	0.5412	0.7041	0.2397	0.0722	0.0164
HEATR3	0.1100	0.0529	0.1486	0.1099	0.0470	0.4067	0.0578	0.0492	0.0453	0.0389	0.2636	0.0677	0.1015	0.0474	0.0729	0.1637	0.0480	0.4603	0.5237	0.0157	0.1443	0.2276	0.0400	0.0926	0.1504	0.1338	0.1344	0.1414
TRIM74	0.0011	0.0014	0.0000	0.0002	0.0087	0.0000	0.0000	0.0015	0.0000	0.0002	0.0000	0.0000	0.0013	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0017	0.0000	0.0000	0.0000
NIFK	0.3267	0.1133	0.3896	0.4929	0.3782	0.2372	0.1433	0.1214	0.3838	0.4426	0.3878	0.4166	0.5204	0.1585	0.3543	0.1372	0.0570	0.2842	0.0719	0.5729	0.2591	0.3158	0.5524	0.1502	0.2507	0.6423	0.1984	0.2974
OXA1L	0.3138	0.1263	0.2842	0.2988	0.3211	0.4888	0.1829	0.2947	0.1272	0.3618	0.2518	0.0000	0.6408	0.1596	0.3408	0.1128	0.2424	0.6248	0.1532	0.6042	0.2568	0.3370	0.8355	0.2624	0.2592	0.4744	0.1806	0.2060
SLC7A7	0.1996	0.0129	0.0113	0.0124	0.0248	0.9989	0.0000	0.0222	0.0462	0.0633	0.0114	0.0000	0.0021	0.0033	0.0176	0.0000	0.6113	0.6483	0.5298	0.0308	0.0141	0.0000	0.0023	0.3341	0.0283	0.0097	0.0009	0.0000
MAGEC1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LARP1	0.9185	0.4556	0.7355	0.7121	0.5827	0.9624	1.0201	0.4613	0.5041	0.7525	0.5984	0.2413	0.6400	0.6008	0.8725	0.4246	0.7219	0.9277	0.9197	1.0570	0.8274	0.7405	0.8046	0.9899	0.7171	0.8788	0.8303	0.9136
CNOT8	0.4231	0.2556	0.4030	0.5037	0.9146	0.3242	0.2693	0.2003	0.1760	0.3041	0.4993	0.1393	0.2590	0.3563	0.3144	0.4394	0.3952	0.2544	0.2446	0.2692	0.3893	0.8313	0.3846	0.1182	0.4270	0.3859	0.4080	0.3097
GRIA1	0.0031	0.0069	0.0026	0.0020	0.0023	0.0015	0.0000	0.0059	0.2922	0.0178	0.0045	0.0000	0.0000	0.0055	0.0088	0.0000	0.0000	0.0000	0.0116	0.0275	0.0043	0.0000	0.0000	0.0079	0.0063	0.0000	0.0277	0.0000
LRGUK	0.0381	0.0762	0.0105	0.0084	0.0118	0.0676	0.1564	0.0367	0.0493	0.0219	0.0118	0.0000	0.0178	0.0380	0.0000	0.0091	0.0000	0.0562	0.0615	0.0000	0.0134	0.0000	0.0005	0.0946	0.0486	0.0260	0.0235	0.1522
SETD9	0.0645	0.2755	0.0630	0.0553	0.1114	0.0800	0.0810	0.2193	0.2190	0.1445	0.0422	0.0000	0.2914	0.2182	0.1369	0.1852	0.0228	0.0385	0.0746	0.1781	0.0600	0.0000	0.2082	0.0509	0.0371	0.2019	0.1297	0.1490
MIER3	0.1545	1.2354	0.1218	0.1040	0.1487	0.1299	0.2921	0.8915	0.1707	0.1832	0.1553	0.2010	0.4524	0.5753	0.1403	0.1902	0.1087	0.0942	0.1340	0.1714	0.2228	0.0000	0.8583	0.0640	0.1744	0.3863	0.2035	0.1609
NUP205	0.5954	0.0932	0.4401	0.3548	0.3125	0.1998	0.0198	0.0909	0.2444	0.1294	0.4477	0.3750	0.1275	0.1220	0.2738	0.2512	0.0521	0.1980	0.2713	0.2098	0.5791	0.1067	0.1153	0.1605	0.5071	0.3136	0.3577	0.1212
ZKSCAN2	0.0382	0.0197	0.0292	0.0402	0.0282	0.0180	0.0599	0.0354	0.0224	0.0347	0.0282	0.0677	0.0182	0.0348	0.0326	0.0237	0.0053	0.0000	0.0261	0.0000	0.0079	0.0000	0.0059	0.0197	0.0271	0.0189	0.0880	0.1363
C9orf85	0.3208	0.6110	0.1953	0.1819	0.2130	0.2992	0.5469	0.9365	0.2027	0.2070	0.2476	0.3540	0.4771	1.0136	0.1598	0.2636	0.0733	0.3219	0.1856	0.1732	0.3191	0.6503	0.3662	0.1370	0.3057	0.4643	0.3464	0.4329
XAGE2	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PIK3AP1	1.1835	0.5495	0.0901	0.2151	0.0409	1.5547	0.0152	0.0401	0.0112	0.0012	0.6616	2.2960	0.0539	0.0574	0.6394	0.6632	4.1327	0.9888	2.3864	0.0002	0.0341	1.3882	0.1351	0.0663	0.0362	0.1365	0.1319	0.0000
RBM45	0.0692	0.0276	0.0460	0.0406	0.0328	0.0468	0.1348	0.0595	0.0303	0.0549	0.0622	0.0000	0.0578	0.0694	0.0555	0.0325	0.0000	0.0620	0.0465	0.0122	0.0215	0.0000	0.0476	0.0448	0.0615	0.0555	0.2364	0.1350
TTN	0.7053	0.0110	0.1472	0.1293	0.3783	0.6054	0.0256	0.0427	0.0365	0.0588	0.2184	2.7683	0.0030	0.0173	1.8686	0.6716	0.1169	0.0000	0.1381	0.0003	1.0787	0.2133	0.0245	0.0414	0.9272	0.0000	0.0438	0.6164
VSIG4	0.0017	0.0017	0.0015	0.0014	0.0000	3.7618	0.0000	0.0001	0.0033	0.0029	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	1.0760	3.2445	1.0109	0.0000	0.0057	0.0000	0.0000	0.0009	0.0000	0.0000	0.0124	0.0000
PDIA4	0.0734	0.3786	0.1557	0.1576	0.2915	0.5223	0.4735	0.4196	0.2300	0.2736	0.1770	0.2679	0.5968	0.5520	0.2251	0.2438	0.2314	0.4551	0.1778	0.1641	0.1246	0.4240	0.7603	1.5950	0.1441	0.6669	0.2703	0.3963
KDM8	0.0525	0.0144	0.0545	0.0553	0.0113	0.0194	0.5301	0.0238	0.0149	0.0363	0.0541	0.0000	0.0185	0.0550	0.0630	0.1230	0.0000	0.0000	0.0206	0.2879	0.0677	0.2286	0.0037	0.0232	0.0630	0.0568	0.1837	0.0000
PDZD9	0.0045	0.0101	0.0028	0.0011	0.0000	0.0020	0.0000	0.0086	0.0012	0.0056	0.0087	0.0000	0.0018	0.0142	0.0043	0.0118	0.0000	0.0000	0.0135	0.0000	0.0000	0.0000	0.0048	0.0041	0.0163	0.0115	0.0000	0.0000
OTOA	0.0051	0.0056	0.0054	0.0025	0.0043	0.1999	0.0000	0.0041	0.0014	0.0011	0.0098	0.0000	0.0019	0.0087	0.0051	0.0000	0.0101	0.2716	0.0566	0.0001	0.0000	0.0000	0.0002	0.0086	0.0064	0.0000	0.0118	0.0000
KCTD18	0.0938	0.0458	0.0691	0.0833	0.0698	0.0485	0.0152	0.0422	0.0632	0.0626	0.0882	0.0000	0.0721	0.0617	0.0584	0.0435	0.0000	0.0218	0.0309	0.0518	0.0604	0.0000	0.0304	0.0389	0.0644	0.0731	0.0610	0.1613
HYCC2	0.8866	0.5521	1.1796	1.2012	0.3694	0.4824	0.4340	0.4996	0.2735	0.2486	1.3498	0.0000	0.3474	0.5324	0.5868	0.5251	0.9701	0.4255	0.7788	0.2095	1.0035	1.8507	0.3265	0.6541	1.0321	0.3479	0.9232	0.7233
FLACC1	0.0520	0.0197	0.0213	0.0219	0.0283	0.0128	0.1453	0.0237	0.0661	0.0326	0.0154	0.0000	0.0033	0.0173	0.0107	0.0000	0.0073	0.0000	0.0105	0.0000	0.1024	0.0000	0.0051	0.0340	0.0345	0.0300	0.0080	0.0635
C2CD6	0.0083	0.0102	0.0048	0.0007	0.0010	0.0072	0.0000	0.0057	0.0050	0.0094	0.0083	0.0000	0.0022	0.0542	0.0101	0.0000	0.0000	0.0000	0.0011	0.0000	0.0219	0.0000	0.0024	0.0012	0.0000	0.0000	0.0121	0.0000
TMEM237	0.0130	0.0053	0.0355	0.0357	0.0728	0.0333	0.0000	0.0050	0.0691	0.1301	0.0250	0.0716	0.0221	0.0395	0.0059	0.0621	0.0000	0.0678	0.0232	0.0297	0.0673	0.0000	0.0153	0.0188	0.0353	0.0775	0.0007	0.0236
FZD7	0.0101	0.0271	0.0174	0.0208	0.1098	0.0306	0.0000	0.0416	0.1126	0.2043	0.0121	0.0000	0.0533	0.0821	0.0344	0.0000	0.0000	0.0000	0.0041	0.2739	0.0000	0.0000	0.0443	0.0192	0.0104	0.0592	0.0000	0.0000
SPAG17	0.0152	0.0184	0.0092	0.0070	0.0078	0.0000	0.0450	0.0022	0.0233	0.0039	0.0052	0.0000	0.0001	0.0081	0.0050	0.0000	0.0000	0.0000	0.0035	0.0000	0.0063	0.0000	0.0000	0.0089	0.0058	0.0000	0.0586	0.0000
DEPTOR	0.0176	0.2332	0.0209	0.0212	0.2701	0.4994	0.2983	0.1002	0.1877	0.0720	0.0325	1.2064	0.1876	0.1043	0.1223	0.3614	0.0589	0.2747	0.3367	0.0302	0.0253	0.0000	0.1638	0.1348	0.0153	0.3231	0.0217	0.3096
FMN2	0.0120	0.0378	0.0074	0.0043	0.0868	0.0203	0.9763	0.0818	0.0190	0.0116	0.0070	0.0000	0.0304	0.0314	0.0080	0.0000	0.0176	0.0000	0.0281	0.0000	0.0000	0.0000	0.0081	0.0111	0.0141	0.0774	0.2230	0.7931
RNF20	0.2840	0.0772	0.1168	0.1334	0.1670	0.1835	0.1088	0.0976	0.2140	0.1262	0.2221	0.0677	0.1389	0.1012	0.1481	0.2591	0.0951	0.2618	0.1336	0.1366	0.3221	0.1308	0.1104	0.0865	0.2390	0.1670	0.1180	0.1070
CYLC2	0.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000
PPARGC1B	0.0490	0.2568	0.0641	0.0546	0.1156	0.2741	0.1239	1.0734	0.0091	0.0773	0.0976	0.0000	0.5591	0.7671	0.0575	0.0495	0.0078	0.1154	0.2309	0.0109	0.0667	0.0000	0.1949	0.1867	0.0328	0.7579	1.2022	0.4299
ELMO1	6.7907	0.2162	3.2110	1.7035	4.4315	6.4669	0.0373	0.0619	2.1318	1.5171	1.8692	6.7049	0.0176	0.0772	8.2315	2.8073	2.5143	4.9020	9.9666	0.0428	5.8093	3.6768	0.0018	2.3890	6.8407	0.0723	3.0411	1.4629
SLC26A2	0.0755	0.7590	0.0859	0.0581	0.4916	0.2528	0.5668	12.8257	0.1794	0.1005	0.0907	0.0000	5.6893	0.5856	2.4100	0.1784	0.0976	0.1275	0.1139	0.1260	0.1813	0.1821	4.6561	0.0616	0.1448	1.9022	0.4001	1.2980
LSM11	0.0213	0.0536	0.0355	0.0355	0.0188	0.0253	0.0329	0.0302	0.0028	0.0215	0.0305	0.0000	0.0531	0.0162	0.0512	0.0000	0.0406	0.0767	0.0299	0.0000	0.0278	0.1487	0.0422	0.0171	0.0294	0.0906	0.0131	0.0000
MED7	0.1150	0.1074	0.1094	0.1005	0.1103	0.0382	0.0000	0.1212	0.0797	0.0726	0.0645	0.0000	0.1408	0.1448	0.0569	0.1512	0.0412	0.0300	0.0298	0.1009	0.0773	0.1821	0.1733	0.0561	0.1307	0.2422	0.4500	0.0826
SAXO1	0.0151	0.0902	0.0194	0.0179	0.0363	0.0209	0.0000	0.0984	0.0503	0.0898	0.0144	0.0000	0.0258	0.1182	0.0131	0.0875	0.0405	0.0151	0.0450	0.0093	0.0642	0.1487	0.0088	0.0118	0.0411	0.1006	0.1324	0.0170
RRAGA	0.1330	0.1207	0.2650	0.3725	0.6366	0.2464	0.1820	0.1321	0.5867	0.4090	0.2286	0.0000	0.3146	0.0833	0.3692	0.1961	0.0851	0.1487	0.0508	0.7976	0.0824	0.2941	0.6189	0.0618	0.1759	0.2408	0.0725	0.0684
SLC24A2	0.0082	0.0067	0.0021	0.0013	0.0000	0.0009	0.0000	0.0030	0.0000	0.0151	0.0058	0.0000	0.0016	0.0099	0.0000	0.0523	0.0072	0.0091	0.0088	0.0135	0.0000	0.0000	0.0179	0.0018	0.0141	0.0000	0.0002	0.0000
TRIM42	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PXYLP1	0.0391	0.2045	0.0984	0.0840	0.0324	0.0072	0.0000	0.0388	0.0584	0.0791	0.1077	0.1354	0.0380	0.0363	0.2060	0.0382	0.0081	0.0000	0.0112	0.0937	0.3829	0.1582	0.0269	0.0311	0.1048	0.1107	0.0413	0.0000
ADCY8	0.0023	0.0105	0.0000	0.0004	0.0000	0.0000	0.0000	0.0038	0.0034	0.0079	0.0000	0.0000	0.0001	0.0061	0.0001	0.0000	0.0000	0.0000	0.0077	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000
RASA2	2.1850	0.8995	3.3345	3.5761	0.5702	1.2543	0.3703	1.0026	0.5732	0.7176	3.8229	9.0134	1.6248	1.4128	2.4397	5.0756	3.2826	1.2166	1.5510	0.4386	8.6940	9.3757	1.0413	2.6392	6.3924	1.5623	1.3816	0.8610
RMND1	0.1462	0.1280	0.1312	0.1293	0.0905	0.1133	0.3103	0.1465	0.2350	0.1376	0.2140	0.0000	0.1347	0.1353	0.1010	0.2223	0.0207	0.0738	0.0925	0.1848	0.1555	0.0000	0.1188	0.0856	0.1395	0.2163	0.3324	0.1327
RAET1L	0.0014	0.0816	0.0000	0.0000	0.0000	0.0000	0.0000	0.0201	0.0000	0.0000	0.0000	0.0000	0.0055	0.0130	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0200	0.0002	0.0000	0.0000	0.0000	0.0000
SLA	0.1226	0.0051	1.8933	2.8617	0.0065	1.4881	0.0000	0.0076	0.0076	0.0349	2.1207	2.0961	0.0003	0.0063	0.8204	1.8940	5.0401	0.8921	0.9003	0.0106	1.4303	4.8509	0.0000	0.0663	2.1250	0.0000	0.0002	0.0000
TMBIM4	0.5499	0.2992	0.2502	0.3079	1.0317	0.8119	0.2257	0.4405	1.0415	0.9449	0.4201	0.2605	0.9852	0.3144	0.6844	0.4125	0.6471	0.9016	0.2473	0.8159	0.2905	0.4366	0.8723	0.4973	0.3597	0.6639	0.3235	0.5246
VBP1	0.3454	0.1918	0.2684	0.3798	0.3576	0.1908	0.0409	0.0922	0.3938	0.2654	0.2951	0.0677	0.3334	0.1025	0.3992	0.1734	0.0645	0.1612	0.0724	0.4050	0.1859	0.1487	0.5222	0.1329	0.1748	0.3176	0.2044	0.1773
RAB39B	0.0451	0.0007	0.1142	0.1776	0.0091	0.0181	0.0000	0.0008	0.0026	0.0104	0.1225	0.0000	0.0000	0.0020	0.0340	0.0787	0.0000	0.0181	0.0000	0.0000	0.0727	0.2163	0.0000	0.0559	0.0547	0.0000	0.0000	0.0000
CLIC2	0.0083	0.0227	0.0085	0.0017	1.7044	0.9491	0.0000	0.0020	0.0069	0.8841	0.0029	0.0000	0.0033	0.0152	0.0922	0.0000	0.0689	0.8841	1.1193	0.0773	0.0249	0.0000	0.0000	0.0577	0.0050	0.0000	0.0002	0.0000
AFF2	0.0533	0.0147	0.0124	0.0073	0.0001	0.0000	0.0000	0.0082	0.0000	0.0066	0.0036	0.0000	0.0011	0.0056	0.5432	0.0000	0.0275	0.0000	0.0213	0.0000	0.1230	0.0000	0.0000	0.0093	0.1093	0.0000	0.0175	0.0000
MICU3	0.3395	0.0059	0.1510	0.0924	0.2080	0.0233	0.0000	0.0011	0.2082	0.3143	0.1438	0.9060	0.0000	0.0050	0.1384	0.8191	0.0000	0.0293	0.0347	1.0508	0.3145	0.1152	0.0000	0.0203	0.3188	0.0000	0.0111	0.0000
GRIP1	0.0707	1.3544	0.4375	0.0857	0.0363	0.1451	0.7607	0.2556	0.2088	0.0598	0.0634	0.0000	0.2155	0.4522	0.0083	0.0987	0.0998	0.0875	0.1206	0.0000	0.2500	0.0000	0.1128	0.0463	0.1948	0.4608	0.1697	1.6226
VPS37A	0.2684	0.1653	0.2635	0.2342	0.2862	0.2751	0.3127	0.1656	0.3219	0.2745	0.3393	0.2834	0.1859	0.2470	0.2314	0.3229	0.2131	0.2546	0.4473	0.2520	0.2439	0.0000	0.1309	0.1731	0.2967	0.2125	0.2514	0.5297
KIF5A	0.0084	0.0335	0.0195	0.0224	0.0027	0.0010	0.0000	0.0450	0.0445	0.0124	0.0307	0.0000	0.0052	0.0255	0.0071	0.0000	0.0000	0.0248	0.0028	0.0299	0.0128	0.0000	0.0000	0.0062	0.0115	0.0033	0.0287	0.0558
NAT2	0.0007	0.0662	0.0010	0.0003	0.0000	0.0016	0.0000	0.0883	0.0000	0.0000	0.0000	0.0000	0.1127	0.0546	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1982	0.0007	0.0000	0.0409	0.0122	0.0000
MAGEA8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PSD3	0.2374	0.5399	0.2306	0.0495	0.5800	1.1306	0.7201	1.2800	1.2772	4.8329	0.1049	0.0000	0.6344	2.5040	0.0599	0.0803	1.1390	0.7793	1.5998	0.1204	0.1127	0.0000	0.2970	0.0176	0.0857	0.9047	0.3373	0.2994
CARNMT1	0.2269	0.1140	0.4246	0.3920	0.1130	0.1315	0.0373	0.1253	0.0955	0.1250	0.4275	1.2500	0.2430	0.2223	0.1434	0.2384	0.0873	0.1165	0.1554	0.0514	0.4425	0.1152	0.2243	0.1524	0.3164	0.3160	0.2964	0.2691
MCU	1.1670	1.9267	1.3307	1.0906	0.7833	0.8089	0.8762	2.1130	1.1020	0.8569	1.6288	0.8888	2.0208	3.0814	1.6815	1.0449	0.4101	0.7679	1.4436	0.5851	1.3764	1.2347	1.0015	0.8024	1.6221	2.2456	0.7845	2.1503
MIDEAS	0.8024	0.3943	0.4734	0.5478	0.9629	0.5185	0.8999	0.5345	0.9242	0.8413	0.6386	1.5616	0.4546	0.8167	0.3193	0.5607	0.4193	0.7641	0.6347	0.9263	0.3929	0.4914	1.2064	0.1724	0.5100	0.4242	0.4723	0.8765
CFAP70	0.0618	0.0197	0.0563	0.0448	0.0473	0.0142	0.1764	0.0300	0.0655	0.0734	0.0283	0.2135	0.0323	0.0735	0.0993	0.0437	0.0609	0.0217	0.0292	0.0000	0.0616	0.0000	0.0196	0.0532	0.0610	0.0652	0.0771	0.5386
GNA14	0.0254	1.8126	0.0130	0.0040	1.3951	0.0168	1.8200	0.2056	0.0115	0.2221	0.0097	0.0000	0.1861	4.5844	0.1525	0.0325	0.0000	0.0000	0.0256	0.1063	0.0374	0.0000	0.1219	0.0123	0.0092	0.3556	2.0280	2.6814
