gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	colon endothelial cell	colon macrophage	enterochromaffin-like cell	enterocyte of epithelium of large intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of colon	large intestine goblet cell	mast cell	mature NK T cell	monocyte	myeloid dendritic cell	myeloid leukocyte	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	paneth cell of colon	plasma cell	regulatory T cell	transit amplifying cell of colon	tuft cell of colon	type L enteroendocrine cell
LINC00964	0.0043	0.0087	0.0004	0.0004	0.0004	0.0096	0.0195	0.0377	0.0099	0.0022	0.0038	0.0000	0.0201	0.0262	0.0000	0.0000	0.0000	0.0000	0.0410	0.0000	0.0047	0.0000	0.0068	0.0011	0.0000	0.0414	0.2880	0.0000
ENSG00000249818	0.0005	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0023	0.0000
ENSG00000249819	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AFF4P1	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0005	0.0000
THBS4-AS1	0.0045	0.0129	0.0279	0.0163	0.0116	0.0080	0.0000	0.0079	0.0265	0.0091	0.0050	0.0716	0.0116	0.0108	0.0000	0.0000	0.0000	0.0053	0.0056	0.0017	0.1085	0.0000	0.0044	0.0017	0.0673	0.0122	0.0112	0.0004
ENSG00000249828	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000249829	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC02162	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000
ENSG00000249831	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CFAP100-DT	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PGBD4P3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VCAN-AS1	0.0000	0.0053	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0602	0.0561	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0607	0.0000	0.0367	0.0000	0.0000	0.0000	0.0000	0.0013	0.0025	0.0000	0.0000	0.0000
SUMO2P7	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PPIP5K1P1	0.0009	0.0037	0.0000	0.0000	0.0001	0.0000	0.0000	0.0014	0.0022	0.0001	0.0000	0.0000	0.0000	0.0023	0.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0001	0.0000	0.0088	0.0000	0.0000
GAPDHP76	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	0.0000	0.0009	0.0000	0.0009	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0005	0.0000
