gene	tau	top_cell_state	top_expr	n_states
LUC7L	0.6086	innate lymphoid cell	2.3749	28
CACNA2D2	0.8899	tuft cell of colon	0.4100	28
BAIAP3	0.9383	innate lymphoid cell	0.7714	28
TSR3	0.5407	CD8-positive, alpha-beta T cell	0.4120	28
PIGQ	0.6076	tuft cell of colon	0.1522	28
CRAMP1	0.6085	tuft cell of colon	0.1748	28
TEAD3	0.7858	fibroblast	0.4798	28
SELE	0.9788	myofibroblast cell	1.9533	28
DNAJC11	0.5478	transit amplifying cell of colon	0.5150	28
FMO3	0.9626	fibroblast	0.0453	28
MYLIP	0.5534	innate lymphoid cell	2.9560	28
NOX1	0.9192	transit amplifying cell of colon	0.6134	28
E2F2	0.9008	transit amplifying cell of colon	0.2257	28
PSMB1	0.5895	paneth cell of colon	2.6044	28
SYN1	0.9207	enterochromaffin-like cell	0.0714	28
JARID2	0.7423	myeloid leukocyte	14.6542	28
CDKL5	0.9111	innate lymphoid cell	2.4085	28
CAMK1G	0.9030	paneth cell of colon	0.0348	28
CDK11A	0.7257	natural killer cell	0.8209	28
NADK	0.5953	monocyte	0.5465	28
TFAP2B	0.9682	BEST4+ enterocyte	0.0049	28
TFAP2D	0.9300	CD4-positive, alpha-beta T cell	0.0008	28
DLEC1	0.9004	innate lymphoid cell	0.2387	28
CYTH3	0.8235	mast cell	4.0890	28
ADAM22	0.7796	tuft cell of colon	0.5028	28
SYPL1	0.7588	myofibroblast cell	2.1910	28
CYB561	0.7197	mature NK T cell	0.4034	28
SPAG9	0.6574	myeloid leukocyte	11.8415	28
CELSR3	0.8483	enterochromaffin-like cell	0.0578	28
AASS	0.9520	enteroglial cell	5.7362	28
PLEKHG6	0.8694	BEST4+ enterocyte	1.2785	28
SS18L2	0.6680	CD8-positive, alpha-beta T cell	1.1033	28
MPND	0.6365	enterocyte of epithelium of large intestine	0.3310	28
MGST1	0.8828	intestinal crypt stem cell of colon	4.6735	28
CRY1	0.7567	innate lymphoid cell	9.8571	28
PGLYRP1	0.9659	monocyte	0.0566	28
NFIX	0.8212	myofibroblast cell	1.2093	28
ST3GAL1	0.7004	innate lymphoid cell	3.3480	28
MMP25	0.8873	monocyte	0.3915	28
IL32	0.7662	CD8-positive, alpha-beta T cell	4.0153	28
PKD1	0.7957	enterochromaffin-like cell	0.6678	28
MAPK8IP2	0.9573	enterochromaffin-like cell	0.1898	28
MED24	0.7735	colon endothelial cell	0.7381	28
RHOBTB2	0.7005	fibroblast	0.1073	28
HEATR5B	0.7872	myeloid leukocyte	2.1809	28
SEC62	0.3951	monocyte	2.7516	28
RPS20	0.5843	B cell	17.4396	28
CSDE1	0.3861	myofibroblast cell	2.9211	28
UBE3C	0.5510	naive thymus-derived CD4-positive, alpha-beta T cell	1.6606	28
REV3L	0.6563	fibroblast	7.0440	28
TENM1	0.8453	monocyte	0.7714	28
PAX7	0.8771	naive thymus-derived CD4-positive, alpha-beta T cell	0.0117	28
MASP2	0.8980	mast cell	0.0520	28
IYD	0.8110	enterocyte of epithelium of large intestine	0.1629	28
FAM76A	0.4710	tuft cell of colon	0.3670	28
TRAF3IP3	0.7705	monocyte	0.8731	28
POMT2	0.8651	enterochromaffin-like cell	0.3759	28
VTA1	0.5128	gamma-delta T cell	0.7847	28
MLXIPL	0.9481	type L enteroendocrine cell	1.2216	28
BAZ1B	0.4830	innate lymphoid cell	1.3619	28
RANBP9	0.7837	innate lymphoid cell	5.5686	28
ETV7	0.9289	tuft cell of colon	0.1618	28
SPRTN	0.6985	mature NK T cell	0.4811	28
METTL13	0.6359	transit amplifying cell of colon	0.1383	28
DYRK4	0.6709	tuft cell of colon	0.2097	28
