gene	tau	top_cell_state	top_expr	n_states
FBXO2	0.9021	enterocyte	0.7276	21
FBXO44	0.6521	mesothelial cell	0.2044	21
FBXO6	0.7307	enterocyte	0.1866	21
MAD2L2	0.7070	enteric neuron	1.5197	21
DRAXIN	0.9481	enteric neuron	0.1405	21
AGTRAP	0.5106	endothelial cell of lymphatic vessel	0.5830	21
C1orf167	0.8766	endothelial cell of lymphatic vessel	0.0198	21
C1orf167-AS1	0.9757	fibroblast	0.0006	21
MTHFR	0.6327	hematopoietic cell	0.2286	21
CLCN6	0.4353	endothelial cell of lymphatic vessel	0.1068	21
NPPA	0.9029	endothelial cell of lymphatic vessel	0.0296	21
NPPB	0.9342	mesothelial cell	0.0177	21
KIAA2013	0.4024	enteroendocrine cell	0.3197	21
PLOD1	0.6771	endothelial cell of artery	1.2888	21
MFN2	0.2666	pericyte	0.1903	21
MIIP	0.3521	neural crest cell	0.3124	21
TNFRSF8	0.9410	mesothelial cell	0.0347	21
TNFRSF1B	0.9396	hematopoietic cell	1.5062	21
VPS13D	0.4081	endothelial cell of artery	0.1390	21
DHRS3	0.7150	myofibroblast cell	1.3357	21
AADACL4	0.9682	endothelial cell of lymphatic vessel	0.0077	21
CFAP107	0.9666	enteroendocrine cell	0.0061	21
HNRNPCL1	0.6288	mesothelial cell	0.0084	21
HNRNPCL3	0.9313	mesothelial cell	0.0010	21
HNRNPCL2	0.7776	interstitial cell of Cajal	0.0022	21
HNRNPCL4	0.9179	enterocyte	0.0002	21
PRAMEF18	0.9728	enteric smooth muscle cell	0.0010	21
LRRC38	0.9832	enteric smooth muscle cell	0.0043	21
PDPN	0.9360	endothelial cell of lymphatic vessel	1.7763	21
PRDM2	0.4650	enteric neuron	0.4704	21
ENSG00000231606	0.9274	myofibroblast cell	0.0019	21
KAZN	0.6761	fibroblast	0.3791	21
TMEM51-AS1	0.8568	enteroendocrine cell	0.0484	21
TMEM51	0.5926	myofibroblast cell	0.3943	21
FHAD1	0.8911	mesothelial cell	0.0631	21
FHAD1-AS1	0.9810	hematopoietic cell	0.0211	21
ENSG00000236045	0.9156	enteric smooth muscle cell	0.0007	21
EFHD2-AS1	0.7905	hematopoietic cell	0.0022	21
EFHD2	0.8903	hematopoietic cell	0.9722	21
CTRC	0.9906	stem cell	0.1497	21
CELA2A	0.9465	neural crest cell	0.0006	21
CELA2B	0.9616	intestine goblet cell	0.0005	21
CASP9	0.5857	mesothelial cell	0.1297	21
DNAJC16	0.4750	endothelial cell of lymphatic vessel	0.1718	21
ENSG00000272510	0.8489	epithelial cell	0.0173	21
AGMAT	0.7922	enterocyte	0.4625	21
ENSG00000237301	0.9034	endothelial cell of lymphatic vessel	0.0094	21
DDI2	0.5138	colon epithelial cell	0.2853	21
ENSG00000271742	0.9455	hematopoietic cell	0.0030	21
PLEKHM2	0.4968	hematopoietic cell	0.1969	21
SLC25A34	0.7984	enteroendocrine cell	0.0358	21
SLC25A34-AS1	0.9069	endothelial cell of artery	0.0069	21
TMEM82	0.8566	enterocyte	0.2432	21
FBLIM1	0.5585	endothelial cell of artery	1.0867	21
UQCRHL	0.3087	mesodermal cell	0.3439	21
SPEN-AS1	0.4732	neural crest cell	0.1927	21
SPEN	0.4337	enteric neuron	0.4497	21
ZBTB17	0.3077	enteric neuron	0.1779	21
SRARP	0.9785	endothelial cell of lymphatic vessel	0.0462	21
HSPB7	0.9262	myofibroblast cell	1.1050	21
CLCNKA	0.7149	myofibroblast cell	0.0245	21
CLCNKB	0.7979	colon epithelial cell	0.0460	21
FAM131C	0.7257	progenitor cell	0.0278	21
EPHA2	0.7036	vein endothelial cell	0.1986	21
EPHA2-AS1	0.7530	mesothelial cell	0.0028	21
ARHGEF19	0.7389	colon epithelial cell	0.3179	21
CPLANE2	0.4677	colon epithelial cell	0.0316	21
FBXO42	0.3920	enteric neuron	0.1929	21
SZRD1	0.4426	pericyte	0.7579	21
SPATA21	0.6679	myofibroblast cell	0.0050	21
NECAP2	0.6940	endothelial cell of artery	1.3029	21
LINC01772	0.5531	endothelial cell of artery	0.0152	21
ENSG00000224174	0.6682	enteric smooth muscle cell	0.0034	21
LINC01783	0.6763	enteroendocrine cell	0.0023	21
NBPF1	0.4854	mesodermal cell	0.2192	21
ENSG00000271732	0.9334	myofibroblast cell	0.0006	21
CROCC	0.7713	myofibroblast cell	0.6514	21
LINC03126	0.7635	enteric neuron	0.0028	21
ENSG00000238142	0.4870	mesodermal cell	0.3633	21
ENSG00000272426	0.6173	mesodermal cell	0.0332	21
MFAP2	0.7938	myofibroblast cell	6.3573	21
ATP13A2	0.7291	endothelial cell of artery	0.4287	21
SDHB	0.4733	enterocyte	1.0327	21
PADI2	0.8803	colon epithelial cell	0.1170	21
ENSG00000282843	0.9938	colon epithelial cell	0.0001	21
PADI1	0.9026	progenitor cell	0.0015	21
PADI3	0.9534	enteric neuron	0.0017	21
PADI4	0.9990	hematopoietic cell	0.3292	21
PADI6	1.0000	hematopoietic cell	0.0019	21
RCC2-AS1	0.9028	enteric neuron	0.0008	21
RCC2	0.5675	neural crest cell	0.7255	21
ARHGEF10L	0.7354	colon epithelial cell	0.2435	21
LINC02810	0.9863	fibroblast	0.0007	21
ACTL8	0.8863	epithelial cell	0.0039	21
IGSF21	0.9879	hematopoietic cell	0.1206	21
ENSG00000225387	0.9445	myofibroblast cell	0.0013	21
KLHDC7A	0.7753	enterocyte	0.0074	21
PAX7	0.9366	endothelial cell of lymphatic vessel	0.0010	21
ALDH4A1	0.7046	interstitial cell of Cajal	0.1697	21
IFFO2	0.8017	endothelial cell of artery	0.0948	21
UBR4	0.4746	endothelial cell of artery	0.3269	21
EMC1-AS1	0.4958	endothelial cell of artery	0.0491	21
EMC1	0.3330	endothelial cell of lymphatic vessel	0.2069	21
MRTO4	0.2786	neural crest cell	0.4282	21
AKR7A3	0.7830	stem cell	0.0231	21
AKR7A2	0.3374	interstitial cell of Cajal	1.2004	21
SLC66A1	0.3121	interstitial cell of Cajal	0.1322	21
CAPZB	0.5723	hematopoietic cell	4.2916	21
MICOS10	0.2779	interstitial cell of Cajal	2.4303	21
NBL1	0.8517	fibroblast	1.9957	21
TMCO4	0.5967	stem cell	0.0704	21
RNF186	0.9076	colon epithelial cell	0.3869	21
RNF186-AS1	0.9628	enteroendocrine cell	0.0064	21
OTUD3	0.4987	mesodermal cell	0.1049	21
PLA2G2A	0.8953	progenitor cell	2.6299	21
PLA2G5	0.9750	pericyte	0.1314	21
PLA2G2D	0.9588	hematopoietic cell	0.0045	21
PLA2G2F	0.9938	intestine goblet cell	0.0023	21
