gene	colon epithelial cell	endothelial cell of artery	endothelial cell of lymphatic vessel	enteric neuron	enteric smooth muscle cell	enterocyte	enteroendocrine cell	epithelial cell	erythroblast	fibroblast	hematopoietic cell	interstitial cell of Cajal	intestine goblet cell	mesodermal cell	mesothelial cell	myofibroblast cell	neural crest cell	pericyte	progenitor cell	stem cell	vein endothelial cell
ENSG00000272661	0.0057	0.0076	0.0048	0.0114	0.0057	0.0039	0.0072	0.0000	0.0008	0.0128	0.0101	0.0080	0.0062	0.0101	0.0130	0.0079	0.0047	0.0044	0.0048	0.0041	0.0070
NUB1	0.2862	0.3052	0.2857	0.2601	0.2283	0.2380	0.2063	0.2629	0.0380	0.2369	0.2882	0.2744	0.2528	0.2663	0.1790	0.2124	0.2716	0.2671	0.2466	0.2185	0.3114
WDR86	0.0314	0.2238	0.0445	0.2459	0.0626	0.0148	0.0308	0.0097	0.0084	0.1018	0.0223	0.0497	0.0083	0.0977	0.0407	0.0443	0.4193	0.0307	0.0399	0.0196	0.0892
CRYGN	0.0012	0.0000	0.0000	0.0010	0.0006	0.0003	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0008	0.0006	0.0000	0.0040	0.0008	0.0003	0.0000	0.0002
RHEB	1.1322	1.8046	1.9162	1.8097	2.8988	1.0325	1.2424	0.8551	0.3528	1.4512	1.0761	2.1383	1.2337	1.9687	2.2769	2.0396	2.3363	1.7727	1.3311	0.9602	1.5853
PRKAG2	0.0968	0.1154	0.4494	0.0504	0.4478	0.2126	0.2309	0.1668	0.0035	0.0363	0.1651	0.0316	0.1305	0.0867	0.1021	0.3124	0.0284	0.0744	0.1706	0.1573	0.2210
PRKAG2-AS1	0.0501	0.0037	0.1424	0.0358	0.0223	0.1962	0.2187	0.1219	0.0044	0.0240	0.1033	0.0064	0.1058	0.0375	0.0124	0.0062	0.0304	0.0135	0.1452	0.1423	0.0694
GALNT11	0.2672	0.2933	0.3274	0.3669	0.3940	0.1785	0.2475	0.2101	0.0234	0.4310	0.1433	0.4816	0.1420	0.4377	0.2678	0.5388	0.2024	0.3566	0.2272	0.1567	0.3220
ENSG00000229591	0.0009	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0004	0.0000	0.0011	0.0000	0.0015	0.0002	0.0005	0.0000
KMT2C	0.3748	0.4942	0.4896	0.5274	0.4672	0.2385	0.3697	0.3098	0.0761	0.5023	0.5444	0.4228	0.3194	0.4953	0.4211	0.4613	0.3672	0.4389	0.2995	0.2269	0.4362
LINC01003	0.1070	0.1204	0.1201	0.2468	0.0967	0.0857	0.1899	0.1345	0.0190	0.0596	0.1183	0.0657	0.1075	0.0692	0.1267	0.0736	0.1396	0.0400	0.0740	0.0760	0.1247
XRCC2	0.1196	0.0094	0.0484	0.0843	0.1016	0.0778	0.0511	0.0152	0.0299	0.1323	0.0572	0.1519	0.0763	0.1645	0.0581	0.0516	0.2178	0.1597	0.0747	0.0567	0.0891
