gene	colon epithelial cell	endothelial cell of artery	endothelial cell of lymphatic vessel	enteric neuron	enteric smooth muscle cell	enterocyte	enteroendocrine cell	epithelial cell	erythroblast	fibroblast	hematopoietic cell	interstitial cell of Cajal	intestine goblet cell	mesodermal cell	mesothelial cell	myofibroblast cell	neural crest cell	pericyte	progenitor cell	stem cell	vein endothelial cell
S100P	0.3470	0.0091	0.1210	0.0025	0.0035	0.0310	0.0266	0.0476	0.0008	0.0022	0.3752	0.0019	0.0469	0.0015	0.0013	0.0012	0.0023	0.0008	0.0212	0.0114	0.0158
MRFAP1L1	0.3535	0.2388	0.2962	0.5422	0.3955	0.2561	0.2875	0.3420	0.0718	0.4116	0.1916	0.3745	0.2867	0.5102	0.4246	0.3732	0.4307	0.3105	0.3504	0.2776	0.2907
BLOC1S4	0.4856	0.3691	0.2679	0.4759	0.3233	0.4315	0.3348	0.5675	0.0572	0.4003	0.2804	0.4984	0.4062	0.3723	0.3200	0.4228	0.3894	0.3521	0.4717	0.4024	0.3339
KIAA0232	0.1739	0.2588	0.1480	0.3159	0.2567	0.0688	0.1381	0.1043	0.0664	0.1806	0.1661	0.1328	0.0882	0.2014	0.1708	0.1595	0.1713	0.1622	0.1252	0.0610	0.1472
TBC1D14	0.1932	0.0741	0.0532	0.2090	0.1430	0.1052	0.1324	0.0254	0.0156	0.1283	0.2461	0.1755	0.1024	0.1355	0.1262	0.1317	0.1717	0.1291	0.1507	0.1154	0.0810
ENSG00000245748	0.0013	0.0009	0.0000	0.0025	0.0061	0.0010	0.0030	0.0000	0.0000	0.0012	0.0004	0.0000	0.0000	0.0009	0.0034	0.0028	0.0011	0.0090	0.0013	0.0009	0.0007
CFAP184	0.0024	0.0099	0.0000	0.0049	0.0017	0.0015	0.0122	0.0000	0.0000	0.0038	0.0022	0.0090	0.0050	0.0030	0.0035	0.0058	0.0007	0.0058	0.0019	0.0010	0.0059
TADA2B	0.0475	0.0711	0.0314	0.0560	0.0438	0.0365	0.0583	0.0316	0.0033	0.0362	0.0399	0.0374	0.0416	0.0439	0.0444	0.0455	0.0502	0.0220	0.0425	0.0367	0.0294
GRPEL1	0.3209	0.2527	0.2169	0.2597	0.2469	0.4786	0.3252	0.4429	0.0977	0.1955	0.2525	0.1710	0.3802	0.2071	0.1874	0.1878	0.3246	0.2280	0.3786	0.4312	0.2307
LINC02447	0.0192	0.0057	0.0000	0.0102	0.0058	0.0259	0.0257	0.0326	0.0007	0.0045	0.0035	0.0029	0.0215	0.0066	0.0295	0.0004	0.0133	0.0131	0.0262	0.0229	0.0053
SORCS2	0.0081	0.0000	0.0149	0.0675	0.0371	0.0005	0.0056	0.0000	0.0036	0.0507	0.0051	0.0567	0.0000	0.0390	0.0448	0.0897	0.0340	0.0277	0.0009	0.0016	0.0051
PSAPL1	0.0025	0.0000	0.0000	0.0013	0.0006	0.0100	0.0012	0.0017	0.0000	0.0000	0.0000	0.0000	0.0032	0.0000	0.0222	0.0004	0.0000	0.0000	0.0094	0.0085	0.0000
AFAP1-AS1	0.0014	0.0000	0.0000	0.0008	0.0009	0.0001	0.0000	0.0000	0.0000	0.0008	0.0005	0.0029	0.0000	0.0007	0.0007	0.0000	0.0011	0.0012	0.0002	0.0000	0.0005
AFAP1	0.1002	0.2348	0.2428	0.4254	0.2709	0.0584	0.1716	0.0525	0.0117	0.2279	0.0596	0.2440	0.0885	0.2223	0.2324	0.2430	0.1437	0.3275	0.0855	0.0719	0.2398
ENSG00000228919	0.0003	0.0000	0.0000	0.0000	0.0005	0.0001	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0003	0.0005	0.0003	0.0000	0.0006	0.0001	0.0011
ABLIM2	0.0153	0.0076	0.0135	0.1737	0.0137	0.0105	0.0505	0.0086	0.0000	0.0152	0.0055	0.0046	0.0048	0.0197	0.0931	0.0058	0.0531	0.0119	0.0113	0.0146	0.0123
SH3TC1	0.0531	0.5542	0.6688	0.0095	0.0067	0.0533	0.0508	0.0571	0.0064	0.0134	0.2518	0.0806	0.0590	0.0156	0.0357	0.0423	0.0021	0.0047	0.0435	0.0598	0.2791
HTRA3	0.0078	0.0901	0.0900	0.0242	0.0504	0.0033	0.0017	0.0000	0.0503	0.7965	0.0515	2.6717	0.0032	0.3786	0.0340	1.6052	0.0260	0.5729	0.0047	0.0033	0.1164
LINC02517	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0010	0.0000	0.0000	0.0000
ENSG00000251615	0.0160	0.0271	0.0000	0.0225	0.0650	0.0054	0.0066	0.0130	0.0031	0.0330	0.0117	0.0220	0.0038	0.0341	0.0294	0.0707	0.0116	0.0177	0.0112	0.0046	0.0172
ACOX3	0.0509	0.2082	0.1254	0.0860	0.1353	0.0590	0.0605	0.0389	0.0138	0.0915	0.0795	0.0906	0.0538	0.0901	0.0515	0.1722	0.0860	0.0776	0.0561	0.0550	0.1162
TRMT44	0.0345	0.1072	0.0479	0.0420	0.0309	0.0358	0.0352	0.0628	0.0108	0.0393	0.0337	0.0500	0.0380	0.0420	0.0559	0.0383	0.0506	0.0399	0.0355	0.0367	0.0415
ENSG00000205959	0.0021	0.0047	0.0010	0.0016	0.0066	0.0017	0.0040	0.0000	0.0000	0.0036	0.0016	0.0107	0.0011	0.0061	0.0048	0.0071	0.0028	0.0034	0.0016	0.0035	0.0021
GPR78	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0004	0.0014	0.0000	0.0000	0.0024	0.0000	0.0000	0.0000
CPZ	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0048	0.0000	0.0000	0.0000	0.0016	0.0055	0.0005	0.0000	0.0000	0.0000	0.0003	0.0007
ENSG00000250915	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000
HMX1	0.0001	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000
FAM90A26	0.0005	0.0000	0.0000	0.0010	0.0002	0.0001	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0001	0.0000	0.0000	0.0004	0.0000	0.0002	0.0000	0.0000
DEFB131A	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000
SLC2A9	0.0169	0.0093	0.0120	0.0004	0.0039	0.0541	0.0143	0.0151	0.0000	0.0062	0.0208	0.0047	0.0317	0.0059	0.0036	0.0078	0.0014	0.0044	0.0166	0.0184	0.0132
DRD5	0.0008	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000
SLC2A9-AS1	0.0000	0.0092	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006
WDR1	0.9622	2.3190	1.7469	0.6096	2.3384	0.7633	0.6817	0.9707	0.1150	0.7020	1.5443	1.3468	0.7150	0.8927	0.7331	1.9063	0.6665	1.3268	0.7793	0.5918	1.6640
ZNF518B	0.1169	0.1251	0.1069	0.2029	0.1672	0.0783	0.0915	0.0967	0.0193	0.1414	0.0866	0.1750	0.0749	0.1843	0.1621	0.1479	0.2019	0.1538	0.1263	0.0916	0.1364
CLNK	0.0028	0.0000	0.0038	0.0020	0.0017	0.0021	0.0012	0.0041	0.0012	0.0048	0.0747	0.0000	0.0041	0.0038	0.0025	0.0029	0.0011	0.0005	0.0038	0.0020	0.0011
HS3ST1	0.0421	0.1287	0.0310	0.0265	0.1050	0.0137	0.0405	0.0564	0.0139	0.0644	0.1757	0.0353	0.0123	0.1141	0.1217	0.4203	0.0435	0.0566	0.0250	0.0232	0.0976
ENSG00000251152	0.0043	0.0045	0.0000	0.0007	0.0042	0.0019	0.0047	0.0000	0.0009	0.0015	0.0039	0.0000	0.0035	0.0033	0.0032	0.0011	0.0023	0.0000	0.0048	0.0021	0.0013
ENSG00000249631	0.0017	0.0023	0.0000	0.0004	0.0019	0.0012	0.0000	0.0010	0.0000	0.0001	0.0007	0.0000	0.0000	0.0021	0.0005	0.0006	0.0001	0.0013	0.0007	0.0018	0.0027
LINC02270	0.0013	0.0059	0.0000	0.0015	0.0027	0.0001	0.0000	0.0000	0.0006	0.0005	0.0000	0.0000	0.0000	0.0030	0.0015	0.0040	0.0010	0.0021	0.0001	0.0000	0.0000
ENSG00000250371	0.0060	0.0020	0.0000	0.0088	0.0092	0.0029	0.0068	0.0000	0.0000	0.0051	0.0009	0.0050	0.0020	0.0092	0.0050	0.0066	0.0071	0.0092	0.0026	0.0013	0.0020
ENSG00000250098	0.0008	0.0020	0.0000	0.0015	0.0037	0.0005	0.0000	0.0000	0.0009	0.0024	0.0000	0.0091	0.0003	0.0033	0.0042	0.0009	0.0029	0.0051	0.0010	0.0000	0.0003
RAB28	0.2331	0.2812	0.1240	0.2837	0.3552	0.1628	0.1878	0.2478	0.0277	0.3325	0.1644	0.4866	0.1479	0.4616	0.2498	0.2841	0.3140	0.4459	0.2302	0.1627	0.2325
LINC01097	0.0002	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0025	0.0000	0.0050	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000
NKX3-2	0.0129	0.0025	0.0063	0.0093	0.2917	0.0004	0.0007	0.0000	0.0054	0.1057	0.0136	0.5719	0.0000	0.4897	0.0260	0.1350	0.0063	0.1042	0.0016	0.0000	0.0096
LINC01096	0.0016	0.0000	0.0000	0.0003	0.0266	0.0000	0.0000	0.0000	0.0010	0.0116	0.0019	0.0363	0.0004	0.0304	0.0112	0.0185	0.0007	0.0114	0.0000	0.0003	0.0010
BOD1L1	0.3091	0.4903	0.3811	0.4543	0.4022	0.2135	0.2618	0.1673	0.0555	0.4058	0.3544	0.3527	0.2138	0.4909	0.3341	0.3472	0.3678	0.3453	0.2780	0.2144	0.4153
LINC01182	0.0000	0.0000	0.0034	0.0000	0.0001	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002
ENSG00000250497	0.0000	0.0000	0.0000	0.0000	0.0000	0.0022	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0001	0.0000
LINC01085	0.0000	0.0011	0.0000	0.0003	0.0000	0.0000	0.0003	0.0000	0.0000	0.0001	0.0000	0.0023	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004
LINC00504	0.0050	0.0300	0.0135	0.0139	0.0140	0.0018	0.0000	0.0000	0.0005	0.0169	0.0153	0.0152	0.0000	0.0135	0.0045	0.0150	0.0087	0.0165	0.0034	0.0024	0.0413
CPEB2-DT	0.0019	0.0000	0.0000	0.0009	0.0003	0.0007	0.0000	0.0000	0.0000	0.0003	0.0010	0.0000	0.0007	0.0002	0.0004	0.0000	0.0002	0.0017	0.0006	0.0008	0.0002
CPEB2	0.0195	0.0966	0.2160	0.0236	0.0251	0.0290	0.0272	0.0352	0.0015	0.0052	0.0521	0.0070	0.0308	0.0075	0.0046	0.0141	0.0020	0.0092	0.0188	0.0155	0.0838
C1QTNF7-AS1	0.0005	0.0000	0.0000	0.0000	0.0013	0.0001	0.0000	0.0000	0.0000	0.0007	0.0027	0.0000	0.0000	0.0006	0.0011	0.0016	0.0000	0.0053	0.0000	0.0000	0.0011
C1QTNF7	0.0014	0.0048	0.0000	0.0016	0.1410	0.0002	0.0000	0.0000	0.0012	0.0343	0.0040	0.0317	0.0004	0.0116	0.0337	0.0276	0.0017	0.1798	0.0001	0.0002	0.0027
CC2D2A	0.1108	0.1074	0.1739	0.1385	0.2906	0.0622	0.0971	0.1010	0.0095	0.1811	0.0568	0.1651	0.0570	0.2236	0.0933	0.1744	0.1301	0.2804	0.0866	0.0724	0.1385
ENSG00000273133	0.0003	0.0004	0.0000	0.0049	0.0020	0.0005	0.0000	0.0000	0.0004	0.0004	0.0020	0.0000	0.0000	0.0016	0.0016	0.0003	0.0035	0.0018	0.0013	0.0008	0.0008
FBXL5	0.2205	0.3826	0.2366	0.3222	0.3695	0.1741	0.1934	0.1491	0.0300	0.3448	0.2643	0.4310	0.1808	0.3593	0.2270	0.3211	0.2726	0.3795	0.2140	0.1703	0.2379
FAM200B	0.5626	0.5205	0.7600	0.7782	0.6870	0.5890	0.7063	0.5555	0.0684	0.7071	0.4434	0.7495	0.6141	0.7337	1.1885	0.5937	0.5430	0.7182	0.4757	0.5055	0.5486
BST1	0.0203	0.0186	0.0273	0.0083	0.1354	0.1320	0.0398	0.0208	0.0070	0.0890	0.2526	0.0425	0.0686	0.0679	0.2021	0.0393	0.0100	0.2107	0.0589	0.0630	0.0324
CD38	0.0036	0.0020	0.4973	0.0051	0.0068	0.0006	0.0004	0.0000	0.0000	0.0080	0.2938	0.0021	0.0000	0.0026	0.0015	0.0010	0.0003	0.0045	0.0011	0.0000	0.0022
FGFBP1	0.0106	0.0000	0.0094	0.0000	0.0011	0.0005	0.0000	0.0000	0.0000	0.0020	0.0000	0.0000	0.0000	0.0009	0.0192	0.0000	0.0007	0.0000	0.0012	0.0000	0.0000
FGFBP2	0.0002	0.0000	0.0000	0.0057	0.0003	0.0000	0.0000	0.0000	0.0000	0.0118	0.0080	0.0000	0.0000	0.0011	0.0013	0.0012	0.0016	0.0151	0.0000	0.0000	0.0000
PROM1	0.2895	0.0256	0.2368	0.0334	0.0974	0.0269	0.0897	0.0626	0.0135	0.2184	0.0108	0.1837	0.0291	0.1705	0.1413	0.0598	0.0176	0.0882	0.0811	0.0307	0.1216
TAPT1	0.0607	0.0725	0.0833	0.1557	0.0502	0.0324	0.0907	0.0430	0.0183	0.0627	0.0734	0.0677	0.0437	0.0875	0.0594	0.0555	0.0576	0.0566	0.0396	0.0317	0.0795
TAPT1-AS1	0.0053	0.0030	0.0000	0.0041	0.0023	0.0031	0.0100	0.0010	0.0000	0.0046	0.0025	0.0027	0.0033	0.0042	0.0112	0.0027	0.0029	0.0072	0.0026	0.0073	0.0056
ENSG00000248138	0.0005	0.0000	0.0000	0.0000	0.0001	0.0000	0.0056	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0022	0.0000	0.0000	0.0000
LDB2	0.0230	1.4533	1.3637	0.1588	0.3085	0.0031	0.0307	0.0000	0.0359	0.8583	0.0722	0.7407	0.0017	0.9841	0.2908	0.5981	0.0576	0.7473	0.0079	0.0019	1.3476
QDPR	0.5263	0.1954	0.2779	0.9152	0.4330	0.6896	1.5528	0.6878	0.0612	0.4466	0.3110	0.3055	0.5523	0.4857	0.3231	0.3867	0.6489	0.4174	0.6408	0.5924	0.2242
LAP3	0.3231	0.8378	0.3058	0.2235	0.3068	0.4003	0.2700	0.4879	0.0579	0.2937	0.8731	0.3845	0.3146	0.2665	0.2128	0.3120	0.3358	0.2473	0.4208	0.3567	0.4441
MED28-DT	0.0012	0.0000	0.0000	0.0016	0.0010	0.0010	0.0018	0.0000	0.0000	0.0010	0.0006	0.0043	0.0005	0.0024	0.0023	0.0023	0.0027	0.0024	0.0022	0.0006	0.0006
MED28	1.3344	0.9336	0.9802	1.1385	1.1201	1.0476	0.9798	1.4168	0.2399	1.0986	0.9851	1.1119	0.9598	1.3635	1.1721	0.9481	1.2881	1.0100	1.2813	1.0083	1.0576
FAM184B	0.0760	0.1429	0.0717	0.1275	0.1069	0.0383	0.0602	0.0134	0.0147	0.1496	0.0479	0.1875	0.0176	0.1332	0.1289	0.1908	0.1022	0.1464	0.0405	0.0344	0.0893
DCAF16	0.1926	0.1243	0.0830	0.2317	0.2500	0.1406	0.1843	0.1164	0.0248	0.2424	0.1072	0.2425	0.1302	0.2905	0.2247	0.2068	0.2198	0.1848	0.1841	0.1296	0.1183
NCAPG	0.1571	0.0283	0.1658	0.2102	0.1529	0.1504	0.0660	0.0137	0.0620	0.1364	0.1114	0.2551	0.1525	0.2558	0.1024	0.0951	0.4316	0.1971	0.0711	0.0460	0.2027
LCORL	0.1726	0.2532	0.2196	0.2900	0.1428	0.1775	0.2716	0.1878	0.0247	0.1261	0.1634	0.1451	0.2184	0.1782	0.1277	0.0921	0.2551	0.1360	0.2101	0.1452	0.3024
SLIT2	0.0598	0.0263	0.0625	0.0842	0.0565	0.0103	0.0093	0.0015	0.0083	0.9204	0.0196	0.4694	0.0084	0.1641	0.5607	0.5575	0.1224	0.2485	0.0177	0.0096	0.0301
PACRGL	0.0883	0.0528	0.0938	0.1244	0.0891	0.0708	0.0929	0.0686	0.0112	0.0825	0.0434	0.1078	0.0711	0.1115	0.1438	0.0999	0.1596	0.0879	0.0805	0.1009	0.0940
KCNIP4	0.0086	0.0015	0.0172	0.0626	0.7108	0.0029	0.0132	0.0000	0.0096	0.0182	0.0075	0.0872	0.0010	0.1126	0.0155	0.2203	0.0211	0.0135	0.0080	0.0011	0.0077
ENSG00000272995	0.0003	0.0000	0.0000	0.0004	0.0007	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0009	0.0007	0.0006	0.0010	0.0008	0.0003	0.0007	0.0005
ENSG00000250092	0.0000	0.0000	0.0000	0.0039	0.0057	0.0000	0.0000	0.0000	0.0000	0.0005	0.0004	0.0057	0.0000	0.0026	0.0000	0.0017	0.0003	0.0000	0.0000	0.0000	0.0000
ENSG00000248343	0.0007	0.0000	0.0000	0.0000	0.0003	0.0001	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0002	0.0000	0.0000	0.0002	0.0000
KCNIP4-IT1	0.0000	0.0000	0.0000	0.0005	0.0016	0.0000	0.0000	0.0000	0.0000	0.0041	0.0000	0.0000	0.0000	0.0010	0.0079	0.0027	0.0006	0.0000	0.0000	0.0003	0.0000
ADGRA3	0.2944	0.0968	0.1329	0.1935	0.2187	0.1489	0.1863	0.2953	0.0191	0.1896	0.0374	0.2220	0.1434	0.2580	0.2552	0.2742	0.2137	0.1792	0.2124	0.1733	0.1143
ENSG00000250137	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PPARGC1A	0.0056	0.1277	0.0082	0.0056	0.0615	0.0055	0.0065	0.0000	0.0000	0.0083	0.0192	0.0569	0.0164	0.0142	0.0143	0.0271	0.0049	0.0381	0.0040	0.0066	0.0148
DHX15	0.7451	0.5827	0.5405	0.7847	0.6646	0.4632	0.5395	0.6183	0.1051	0.6125	0.3588	0.7337	0.4954	0.8116	0.5559	0.5658	0.9082	0.7477	0.6893	0.4017	0.6740
LINC02473	0.0005	0.0000	0.0000	0.0011	0.0001	0.0001	0.0000	0.0000	0.0000	0.0011	0.0000	0.0027	0.0000	0.0008	0.0000	0.0008	0.0025	0.0000	0.0003	0.0000	0.0000
SOD3	0.8938	0.0129	0.0288	0.0099	0.0541	0.0047	0.0037	0.0020	0.0517	0.1921	0.0063	0.1032	0.0037	0.0562	0.0320	0.2494	0.0083	0.8867	0.0225	0.0390	0.0053
CCDC149	0.0521	0.0717	0.0839	0.0263	0.0964	0.0350	0.0558	0.0446	0.0040	0.0593	0.0160	0.0637	0.0418	0.0741	0.0545	0.0782	0.0350	0.0717	0.0395	0.0315	0.0492
LGI2	0.0126	0.0059	0.0230	0.0140	0.0740	0.0030	0.0020	0.0000	0.0004	0.0576	0.0022	0.0426	0.0020	0.0262	0.0859	0.1356	0.0337	0.0862	0.0077	0.0039	0.0069
SEPSECS	0.0462	0.0350	0.0330	0.0278	0.0231	0.0573	0.0493	0.0361	0.0068	0.0408	0.0582	0.0168	0.0678	0.0432	0.0391	0.0207	0.0296	0.0439	0.0439	0.0492	0.0520
SEPSECS-AS1	0.0405	0.0234	0.0195	0.0284	0.0141	0.0364	0.0271	0.0191	0.0423	0.0227	0.0614	0.0265	0.0449	0.0236	0.0268	0.0113	0.0395	0.0231	0.0244	0.0247	0.0408
ENSG00000271172	0.0002	0.0000	0.0000	0.0000	0.0004	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003
PI4K2B	0.0983	0.0476	0.0267	0.0269	0.0352	0.0829	0.0625	0.0842	0.0131	0.0410	0.0562	0.0499	0.0968	0.0433	0.0522	0.0273	0.0582	0.0310	0.0904	0.0496	0.0686
ZCCHC4	0.0611	0.0459	0.0258	0.0520	0.0545	0.0654	0.0531	0.0541	0.0068	0.0697	0.0325	0.0794	0.0499	0.0749	0.0579	0.0595	0.0809	0.0631	0.0629	0.0581	0.0386
ANAPC4	0.1070	0.1214	0.1232	0.1170	0.1295	0.0918	0.0843	0.0969	0.0244	0.1162	0.0943	0.1800	0.0745	0.1547	0.1353	0.1147	0.1912	0.1408	0.1065	0.0873	0.1227
ENSG00000248545	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0001	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SLC34A2	0.0000	0.0016	0.0000	0.0004	0.0004	0.0050	0.0041	0.0049	0.0000	0.0005	0.0008	0.0000	0.0043	0.0003	0.0898	0.0003	0.0008	0.0000	0.0018	0.0078	0.0000
SEL1L3	0.0766	0.4258	0.2153	0.0577	0.0545	0.1209	0.1194	0.1734	0.0024	0.0224	0.1464	0.0601	0.1980	0.0505	0.0434	0.0475	0.0978	0.0060	0.0993	0.1200	0.1599
ENSG00000250541	0.0000	0.0077	0.0048	0.0015	0.0009	0.0003	0.0000	0.0000	0.0000	0.0005	0.0004	0.0000	0.0000	0.0007	0.0000	0.0000	0.0005	0.0000	0.0002	0.0003	0.0013
SMIM20	0.8490	0.3049	0.2962	0.4854	0.8397	0.9739	0.6900	0.9344	0.0834	0.6351	0.5419	0.7411	0.9331	0.7710	0.6807	0.7676	0.5397	0.6088	0.9266	0.9614	0.3245
ENSG00000251009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RBPJ	0.9471	0.8356	0.6716	1.2127	1.2494	0.6754	0.7809	0.6473	0.0923	1.0323	1.5934	0.9679	0.7367	1.3062	0.6990	1.1142	1.1559	1.0512	0.7747	0.9985	0.7048
CCKAR	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000
TBC1D19	0.0730	0.1645	0.1482	0.1555	0.0955	0.0376	0.0548	0.0502	0.0140	0.1314	0.0214	0.2106	0.0491	0.1325	0.1389	0.1112	0.1014	0.1685	0.0483	0.0614	0.1955
STIM2	0.0801	0.5256	0.3762	0.1160	0.1357	0.0787	0.1332	0.0688	0.0343	0.1372	0.1615	0.3365	0.0989	0.1857	0.1907	0.0970	0.1802	0.1447	0.0778	0.1127	0.6614
STIM2-AS1	0.0068	0.0054	0.0046	0.0029	0.0044	0.0048	0.0059	0.0059	0.0057	0.0019	0.0067	0.0033	0.0156	0.0040	0.0071	0.0024	0.0027	0.0050	0.0068	0.0049	0.0077
LINC02261	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0001
ENSG00000251325	0.0000	0.0000	0.0000	0.0004	0.0000	0.0001	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0001	0.0000	0.0006	0.0080	0.0000	0.0000	0.0000	0.0000
ENSG00000250064	0.0009	0.0000	0.0000	0.0000	0.0022	0.0004	0.0000	0.0021	0.0000	0.0025	0.0000	0.0014	0.0000	0.0011	0.0606	0.0012	0.0001	0.0000	0.0000	0.0005	0.0000
ENSG00000249228	0.0002	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0054	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000
PCDH7	0.0242	0.0253	0.0368	0.4188	1.1476	0.0092	0.0078	0.0178	0.0100	0.5443	0.0440	0.8897	0.0033	0.7656	1.1167	1.4774	0.2178	0.4250	0.0267	0.0084	0.0809
ENSG00000251434	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0006	0.0004	0.0000	0.0000	0.0000	0.0000
LINC02506	0.0004	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC02484	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000
ARAP2	0.0069	0.0021	0.0018	0.0165	0.0010	0.0318	0.0151	0.0940	0.0026	0.0039	0.0906	0.0040	0.0126	0.0010	0.0509	0.0003	0.0702	0.0007	0.0191	0.0214	0.0047
ENSG00000247193	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000
NWD2	0.0000	0.0000	0.0000	0.0105	0.0001	0.0000	0.0000	0.0000	0.0000	0.0024	0.0008	0.0000	0.0000	0.0010	0.0013	0.0000	0.0005	0.0013	0.0000	0.0000	0.0000
C4orf19	0.1968	0.0009	0.0037	0.0046	0.0098	0.1874	0.1566	0.2412	0.0030	0.0121	0.0000	0.0466	0.1572	0.0123	0.0643	0.0150	0.0281	0.0050	0.1749	0.1481	0.0042
ENSG00000248936	0.0008	0.0071	0.0000	0.0004	0.0015	0.0016	0.0009	0.0000	0.0000	0.0035	0.0041	0.0030	0.0016	0.0015	0.0000	0.0013	0.0010	0.0011	0.0015	0.0012	0.0033
RELL1	0.0244	0.0728	0.0152	0.0131	0.0173	0.0222	0.0213	0.0052	0.0059	0.0358	0.0216	0.0160	0.0169	0.0193	0.0115	0.0198	0.0169	0.0229	0.0241	0.0184	0.0198
PGM2	0.1700	0.3831	0.2119	0.0745	0.2849	0.1598	0.1175	0.1493	0.0234	0.1530	0.2751	0.1946	0.1442	0.1798	0.0959	0.2700	0.1415	0.2385	0.1701	0.1457	0.2779
ENSG00000279386	0.0000	0.0000	0.0000	0.0000	0.0009	0.0001	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0002	0.0000	0.0006	0.0003	0.0011	0.0003	0.0000	0.0000
