gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
SLC10A5P1	0.0000	0.0000	0.0000	0.0003	0.0000	0.0014	0.0000	0.0000	0.0000	0.0012	0.0011	0.0000	0.0151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0013	0.0000
FABP9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ZBTB10	0.7682	0.0856	0.2175	0.3755	0.5774	0.5527	0.6958	0.6927	0.6544	0.0052	0.0008	0.0135	0.0440	0.1816	0.3694	0.4168	0.8390	0.5277	0.1546	0.2147	0.2735	0.5231	0.1093	0.4949	0.4478	0.6691	0.7067	0.0716	0.0668	0.4700	0.2880	0.0930	0.1630	0.0000
C4orf46	0.0374	0.0437	0.0479	0.0513	0.1010	0.0550	0.0994	0.0741	0.0432	0.0183	0.0107	0.0533	0.0217	0.0641	0.0701	0.0403	0.0355	0.0848	0.0920	0.0371	0.0293	0.0730	0.0468	0.1157	0.0153	0.0055	0.0429	0.0000	0.0414	0.0428	0.0821	0.0000	0.0517	0.0516
SCGB2B2	0.0454	0.1759	0.0189	0.0453	0.0959	0.0592	0.1720	0.1968	0.0421	0.1453	0.1120	0.2283	0.0417	0.1301	0.1125	0.2335	0.0369	0.0000	0.1076	0.2013	0.0274	0.0301	0.0795	0.0000	0.2279	0.0231	0.0554	0.0222	0.0460	0.0000	0.0872	0.0000	0.1638	0.0700
CCDC144NL	0.0040	0.0000	0.0009	0.0020	0.0021	0.0108	0.0000	0.0000	0.0000	0.0014	0.0004	0.0000	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0025	0.0018	0.0017	0.0000	0.0000	0.0436	0.0000	0.0132	0.0000	0.0000	0.0001	0.0000	0.0031	0.0000	0.0015	0.0000
LGR4	0.0597	1.5640	0.0014	0.0057	0.0128	0.0171	0.0448	0.0950	0.0033	0.7130	1.2725	1.7157	0.5629	0.5893	1.3616	0.5733	0.0000	0.0000	1.3450	0.8001	0.1162	0.1184	0.0107	0.0000	0.2740	0.0000	0.0065	0.0858	0.6235	0.4166	0.0823	0.2475	0.9094	0.9827
KRT17P7	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0002	0.0000	0.0022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PSMB10	0.2145	0.2557	0.1577	0.1609	0.2304	0.1565	0.2067	0.0923	0.1796	0.2832	0.2025	0.2120	0.2279	0.1451	0.1064	0.1921	0.3457	0.1853	0.3346	0.2480	0.2004	0.1439	0.1386	0.1994	0.0930	0.1381	0.1684	0.0442	0.4238	0.1501	0.1413	0.3057	0.2703	0.1863
VIT	0.0022	0.0014	0.0007	0.0031	0.0023	0.0044	0.0000	0.0000	0.0000	0.0032	0.0049	0.0000	0.0068	0.0841	0.0000	0.3782	0.0000	0.0000	0.0000	0.0072	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.1875	0.0000
