gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
CTTN-DT	0.0303	0.0427	0.0295	0.0303	0.0250	0.0215	0.0212	0.0552	0.0943	0.0306	0.0388	0.0519	0.0728	0.0413	0.0132	0.0358	0.0040	0.0509	0.0325	0.1693	0.0153	0.0455	0.0636	0.0000	0.0492	0.0594	0.0135	0.0092	0.0312	0.0000	0.0102	0.0000	0.0327	0.0532
LINC00920	0.0015	0.0007	0.0150	0.0195	0.0278	0.0369	0.0227	0.0966	0.0336	0.0002	0.0017	0.0000	0.0000	0.0000	0.0171	0.0064	0.0113	0.0279	0.0049	0.0473	0.0234	0.0083	0.0000	0.0000	0.0000	0.0126	0.0194	0.0000	0.0004	0.0000	0.0077	0.0000	0.0029	0.0000
UBAP1L	0.0556	0.0337	0.0360	0.0583	0.0573	0.0669	0.0719	0.1063	0.1924	0.0307	0.0152	0.0573	0.0251	0.0409	0.1065	0.0856	0.0223	0.0400	0.0356	0.0390	0.0566	0.0892	0.0422	0.0000	0.0829	0.0162	0.0507	0.0274	0.0235	0.1935	0.0140	0.0000	0.0260	0.0941
BRPF3-AS1	0.0268	0.0496	0.0182	0.0181	0.0678	0.0229	0.0065	0.0000	0.0023	0.0521	0.0280	0.0361	0.0313	0.0328	0.0140	0.0104	0.0000	0.1532	0.0241	0.1536	0.0007	0.0221	0.0188	0.0000	0.0000	0.0192	0.0000	0.0000	0.0116	0.0781	0.0292	0.0000	0.0456	0.0423
SOCS2-AS1	0.0016	0.0354	0.0077	0.0075	0.0216	0.0073	0.1843	0.0591	0.2531	0.0147	0.0274	0.0332	0.0202	0.0460	0.0752	0.0714	0.0076	0.0180	0.0351	0.0316	0.0231	0.0114	0.0125	0.0000	0.0593	0.0000	0.0196	0.0000	0.0092	0.0000	0.0129	0.0000	0.0524	0.0000
ENSG00000247011	0.0060	0.2094	0.0000	0.0011	0.0029	0.0018	0.0120	0.0000	0.0000	0.0463	0.0379	0.1406	0.1025	0.1285	0.0281	0.0028	0.0023	0.0202	0.0772	0.8252	0.0000	0.0170	0.0419	0.0000	0.0000	0.0113	0.0000	0.0000	0.0236	0.0000	0.0000	0.0000	0.5042	0.1496
ENSG00000247033	0.0000	0.0018	0.0006	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0029	0.0012	0.0028	0.0049	0.0000	0.0261	0.0000	0.0000	0.0000	0.0025	0.0000	0.0011	0.0154	0.0000	0.0000	0.0000	0.0122	0.0000	0.0000	0.0013	0.0000	0.0000	0.0000	0.0058	0.0239
ENSG00000247049	0.0000	0.0000	0.0000	0.0002	0.0032	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0085	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PGAM5	0.0645	0.0532	0.0918	0.0868	0.0610	0.0743	0.0526	0.0434	0.0236	0.0487	0.0263	0.1008	0.0752	0.0380	0.0554	0.0687	0.0436	0.0383	0.1192	0.0409	0.0271	0.0299	0.0312	0.0000	0.0164	0.1655	0.0369	0.0000	0.0864	0.0000	0.0284	0.1860	0.0370	0.2332
BAALC-AS1	0.0195	0.0294	0.0022	0.0024	0.0000	0.0028	0.1560	1.2201	0.3710	0.0203	0.0170	0.0083	0.0766	0.1590	0.0310	0.0098	0.0589	0.0000	0.0259	0.2440	0.0039	0.0066	0.0000	0.0000	0.0417	0.0000	0.1077	0.0000	0.0081	0.0000	0.0649	0.0000	0.0341	0.0000
SNHG10	0.0361	0.0745	0.0329	0.0292	0.0389	0.0396	0.1102	0.0532	0.0480	0.0628	0.0285	0.1075	0.1172	0.0838	0.0190	0.0566	0.0287	0.0728	0.1493	0.1637	0.0128	0.0605	0.0303	0.0000	0.1304	0.0339	0.0323	0.0000	0.0540	0.1359	0.0266	0.0685	0.0954	0.1697
MIR210HG	0.0123	0.1628	0.0044	0.0090	0.0112	0.0082	0.0165	0.0160	0.0033	0.2251	0.0697	0.1248	0.0590	0.0216	0.0234	0.0146	0.0157	0.0000	0.0405	0.1435	0.0011	0.0048	0.0228	0.0000	0.0401	0.0000	0.0338	0.0000	0.0611	0.0575	0.0110	0.0000	0.1309	0.0000
ENSG00000247121	0.1104	0.0671	0.0452	0.0620	0.1017	0.1223	0.0256	0.0282	0.1048	0.0435	0.0665	0.0624	0.0401	0.0914	0.0428	0.0412	0.1058	0.1189	0.0533	0.3625	0.0137	0.0351	0.0274	0.0670	0.1450	0.1176	0.0856	0.0466	0.0190	0.1129	0.0860	0.1956	0.0930	0.0376
ENSG00000247130	0.0000	0.0013	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0006	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000
ENSG00000247131	0.0142	0.0585	0.0054	0.0134	0.0212	0.0103	0.0015	0.0000	0.0000	0.0375	0.0306	0.0574	0.0917	0.0111	0.0254	0.0009	0.0000	0.0000	0.0782	0.0643	0.0047	0.0043	0.0000	0.0000	0.0000	0.0129	0.0065	0.0000	0.0154	0.0003	0.0247	0.0000	0.0737	0.0000
ENSG00000247134	0.0148	0.0432	0.0012	0.0028	0.0000	0.0010	0.0000	0.0012	0.0023	0.0098	0.0003	0.0000	0.0051	0.0100	0.2736	0.0082	0.0041	0.0000	0.0109	0.0206	0.0849	0.0060	0.1303	0.4515	0.0000	0.0585	0.0000	0.0941	0.0210	0.0000	0.0122	0.0000	0.0061	0.0000
ANKRD42-DT	0.1502	0.1299	0.1387	0.1474	0.1631	0.2683	0.0633	0.1698	0.2787	0.1497	0.1331	0.1161	0.0858	0.1209	0.1743	0.1256	0.0342	0.0966	0.1229	0.1180	0.0605	0.1053	0.0456	0.1366	0.0869	0.2115	0.1092	0.0449	0.0698	0.0178	0.0905	0.0767	0.0912	0.0626
CSTF3-DT	0.0251	0.0054	0.0112	0.0174	0.0248	0.0355	0.0030	0.0000	0.0709	0.0059	0.0017	0.0163	0.0004	0.0139	0.0117	0.0071	0.0344	0.0264	0.0025	0.0207	0.0000	0.0045	0.0000	0.0000	0.0000	0.0595	0.0170	0.0000	0.0000	0.0000	0.0175	0.0000	0.0127	0.0000
LINC01252	0.0364	0.0237	0.0018	0.0136	0.0214	0.0285	0.0588	0.2304	0.0531	0.0228	0.0028	0.0340	0.0207	0.0247	0.0411	0.0349	0.0049	0.0000	0.0303	0.0112	0.0073	0.0138	0.0000	0.0000	0.0090	0.0182	0.0583	0.0000	0.0186	0.0000	0.1321	0.0000	0.0235	0.0000
ENSG00000247193	0.0000	0.0142	0.0370	0.1435	0.2921	0.2726	0.0125	0.0000	0.0000	0.0100	0.0044	0.0000	0.0091	0.0019	0.0134	0.0012	0.0415	0.1649	0.0020	0.0099	0.0000	0.0000	0.0000	0.0000	0.0574	0.0396	0.1425	0.0142	0.0024	0.0000	0.0056	0.0685	0.0098	0.0000
FBXO38-DT	0.0319	0.0641	0.0312	0.0565	0.0609	0.0748	0.0890	0.1661	0.0604	0.0503	0.0259	0.0153	0.0297	0.0966	0.3320	0.0986	0.0801	0.0448	0.0426	0.2149	0.0265	0.0409	0.0377	0.0000	0.0091	0.0477	0.1407	0.0927	0.0083	0.0180	0.0867	0.0000	0.0530	0.0315
LINC01498	0.0074	0.0022	0.0028	0.0040	0.0090	0.0061	0.0000	0.0000	0.0000	0.0031	0.0021	0.0000	0.0010	0.0000	0.0000	0.0019	0.0000	0.0000	0.0020	0.0062	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020	0.0000	0.0147	0.0000	0.0090	0.0000
ENSG00000247228	0.0349	0.0039	0.0408	0.0489	0.0340	0.0356	0.0174	0.0291	0.0000	0.0098	0.0183	0.0170	0.0046	0.0219	0.0000	0.0158	0.0650	0.0494	0.0154	0.0279	0.0139	0.0481	0.0424	0.0490	0.0755	0.0151	0.1342	0.0225	0.0036	0.0000	0.0102	0.0654	0.0099	0.0000
UBL7-DT	0.0523	0.1543	0.0599	0.0697	0.1177	0.1339	0.2856	0.1539	0.1224	0.1152	0.0824	0.1917	0.1053	0.0539	0.0521	0.0683	0.1103	0.1283	0.1361	0.2171	0.0203	0.0667	0.0296	0.0000	0.1380	0.0266	0.1627	0.0658	0.0563	0.0000	0.0319	0.1026	0.2344	0.2717
ZBED5-AS1	0.0337	0.0847	0.0149	0.0254	0.0349	0.0408	0.0262	0.0076	0.0698	0.0416	0.0609	0.0505	0.0412	0.0599	0.0512	0.0746	0.0292	0.0000	0.0927	0.1384	0.0322	0.0310	0.0829	0.0000	0.0501	0.0598	0.0264	0.0000	0.0779	0.0288	0.0373	0.0000	0.0835	0.0674
PRKCH-AS1	0.0012	0.0382	0.1717	0.2952	0.2548	0.3756	0.5206	0.7013	0.8605	0.0562	0.0595	0.1056	0.0430	0.0724	0.0152	0.0192	0.3983	0.2691	0.0249	0.0037	0.0163	0.0215	0.0047	0.0661	0.0000	0.2846	0.2648	0.0000	0.0321	0.0617	0.0320	0.2369	0.0699	0.0000
ENSG00000247311	0.0000	0.0000	0.0005	0.0000	0.0011	0.0000	0.0057	0.0000	0.0000	0.0009	0.0001	0.0000	0.0056	0.0000	0.0000	0.0354	0.0000	0.0000	0.0000	0.0000	0.0023	0.0000	0.0000	0.0000	0.0814	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0002	0.0000
ZCCHC3	0.0998	0.0635	0.1702	0.1393	0.1361	0.0862	0.1170	0.1767	0.1106	0.0666	0.0767	0.0779	0.0566	0.0667	0.0608	0.1730	0.2306	0.1958	0.0683	0.0612	0.0490	0.1823	0.0768	0.1578	0.0586	0.1927	0.1115	0.0236	0.0906	0.1619	0.0355	0.0000	0.0687	0.0662
LY6E-DT	0.0090	0.0027	0.0043	0.0062	0.0075	0.0081	0.0764	0.0480	0.1015	0.0012	0.0006	0.0000	0.0002	0.0015	0.0241	0.0110	0.0000	0.0000	0.0043	0.0078	0.0000	0.0084	0.0067	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0008	0.0000	0.0020	0.0000
ENSG00000247324	0.0000	0.0034	0.0035	0.0032	0.0010	0.0029	0.0000	0.0000	0.0000	0.0009	0.0019	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	0.0062	0.0000	0.0002	0.0385	0.0005	0.0000	0.0004	0.0000
ENSG00000247345	0.0012	0.0055	0.0403	0.0130	0.0479	0.0280	0.0253	0.0088	0.0293	0.0067	0.0067	0.0014	0.0057	0.0118	0.0095	0.0099	0.0186	0.0000	0.0034	0.0196	0.0016	0.0000	0.0000	0.0000	0.0553	0.0000	0.0139	0.0000	0.0046	0.0000	0.0000	0.0000	0.0302	0.0000
NUP107-DT	0.0261	0.0121	0.0119	0.0173	0.0222	0.0464	0.0043	0.0000	0.0352	0.0079	0.0043	0.0136	0.0021	0.0224	0.0081	0.0010	0.0345	0.0000	0.0022	0.0016	0.0044	0.0078	0.0174	0.0000	0.0000	0.0412	0.0362	0.0000	0.0020	0.0000	0.0057	0.0000	0.0066	0.0000
ENSG00000247372	0.0000	0.0346	0.0072	0.0087	0.0156	0.0110	0.0010	0.0181	0.0000	0.0253	0.0123	0.0050	0.0225	0.0121	0.0109	0.0000	0.0000	0.0000	0.0249	0.1045	0.0009	0.0185	0.0125	0.0000	0.0000	0.0000	0.0065	0.0585	0.0016	0.0000	0.0040	0.0000	0.0378	0.0560
TMED2-DT	0.0000	0.0367	0.0087	0.0115	0.0322	0.0294	0.0037	0.0160	0.0033	0.0218	0.0138	0.0318	0.0475	0.0073	0.0219	0.0083	0.0249	0.0000	0.0156	0.0193	0.0096	0.0000	0.0550	0.0000	0.0072	0.0000	0.0126	0.0346	0.0065	0.0000	0.0392	0.0000	0.0173	0.0241
PLUT	0.0000	0.0689	0.0008	0.0009	0.0026	0.0105	0.0000	0.0000	0.0000	0.0659	0.0034	0.0963	0.0205	0.0730	0.0000	0.0011	0.0000	0.0000	0.0644	0.0412	0.0013	0.0095	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0264	0.0000	0.0017	0.0000	0.0217	0.0239
DNAJC3-DT	0.0241	0.2698	0.0139	0.0297	0.0824	0.0727	0.0627	0.0789	0.0375	0.1119	0.0902	0.1977	0.1572	0.0952	0.8045	0.0564	0.0363	0.0000	0.0897	0.1216	0.0287	0.0411	0.0508	0.1160	0.0153	0.0220	0.0437	0.0859	0.0611	0.0000	0.0673	0.0000	0.1446	0.2348
ENSG00000247402	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0213	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0027	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000247416	0.0000	0.0000	0.0018	0.0016	0.0029	0.0037	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0053	0.0045	0.0000	0.0000	0.0000	0.0082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0145	0.0000	0.0005	0.0000
CARS1-AS1	0.0108	0.0020	0.0073	0.0080	0.0014	0.0057	0.0058	0.0000	0.0000	0.0024	0.0047	0.0000	0.0025	0.0000	0.0000	0.0103	0.0115	0.0000	0.0036	0.0012	0.0012	0.0187	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0000	0.0079	0.0000	0.0030	0.0000
GPRC5D-AS1	0.0670	0.2834	0.0478	0.0340	0.0460	0.0211	0.0340	0.2619	0.0171	0.1272	0.1024	0.2081	0.1541	0.1260	0.0096	0.2276	0.0544	0.0000	0.2910	0.2950	0.0251	0.0324	0.1305	0.0000	0.0915	0.0163	0.0270	0.0853	0.1311	0.0000	0.0242	0.0000	0.3251	0.2146
MIR4458HG	0.0160	0.1491	0.0181	0.0188	0.0101	0.0278	0.0907	0.1242	0.0150	0.0711	0.0598	0.0526	0.0900	0.0562	0.1902	0.1673	0.0473	0.0443	0.1208	0.1284	0.0173	0.0291	0.0000	0.0000	0.1487	0.0473	0.0277	0.0000	0.1011	0.0880	0.0083	0.0000	0.0973	0.0888
OIP5-AS1	0.4798	0.3216	0.3334	0.3573	0.6259	0.5335	0.3866	0.6394	0.2931	0.2866	0.3915	0.4646	0.3077	0.2130	0.4451	0.4527	0.6926	0.5501	0.4581	0.3509	0.3337	0.3319	0.4734	0.2681	0.4643	0.2837	0.5675	0.2534	0.4442	0.4451	0.1611	0.2573	0.1834	0.2467
SDCBPP2	0.0022	0.0000	0.0000	0.0001	0.0003	0.0000	0.0003	0.0000	0.0000	0.0002	0.0002	0.0000	0.0030	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0023	0.0002	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0004
CKMT2-AS1	0.1091	0.1343	0.1122	0.1368	0.2570	0.2551	0.1478	0.1998	0.1636	0.1294	0.0814	0.1711	0.0608	0.1174	0.0720	0.1906	0.1574	0.2590	0.1109	0.2169	0.0545	0.0677	0.0094	0.0716	0.2826	0.1161	0.1746	0.0393	0.0539	0.0000	0.1029	0.3643	0.1027	0.0817
MISFA	0.0148	0.0766	0.0285	0.0176	0.1489	0.0385	0.1352	0.0454	0.1200	0.0464	0.0263	0.0452	0.0813	0.0553	0.0980	0.0543	0.0476	0.1122	0.0750	0.0829	0.0407	0.0389	0.0202	0.0490	0.0000	0.0000	0.0271	0.0000	0.0296	0.1562	0.0240	0.1026	0.0495	0.1450
TWF2	0.1839	0.0964	0.2771	0.2346	0.2059	0.2239	0.1839	0.1936	0.3034	0.0696	0.1144	0.0565	0.0591	0.0895	0.1613	0.3362	0.3322	0.1817	0.0770	0.1590	0.5679	0.1853	0.4924	0.0657	0.2930	0.2704	0.0998	0.0758	0.1003	0.0428	0.0719	0.3429	0.0840	0.0744
CPEB2-DT	0.0073	0.0309	0.0030	0.0023	0.0049	0.0072	0.0000	0.0000	0.0184	0.0742	0.0484	0.0415	0.0256	0.0329	0.1121	0.0335	0.0095	0.0000	0.0115	0.0509	0.0021	0.0000	0.0000	0.0000	0.0109	0.0114	0.0110	0.0000	0.0115	0.1129	0.0003	0.0733	0.0235	0.0518
MARS2	0.0157	0.0141	0.0205	0.0210	0.0154	0.0126	0.0225	0.0317	0.0000	0.0123	0.0093	0.0312	0.0214	0.0032	0.0114	0.0070	0.0063	0.0000	0.0329	0.0112	0.0059	0.0057	0.0090	0.0670	0.0072	0.0265	0.0197	0.0000	0.0197	0.0000	0.0077	0.0654	0.0077	0.0000
MTND4P12	0.0020	0.0880	0.0069	0.0150	0.0453	0.0037	0.0152	0.0085	0.0001	0.0634	0.0197	0.2629	0.7003	0.0717	0.1323	0.0297	0.0102	0.0000	0.1226	0.0407	0.0728	0.0244	0.0131	0.0000	0.0306	0.0000	0.0524	0.1276	0.1258	0.0300	0.0282	0.0000	0.0967	0.0211
LRP4-AS1	0.0000	0.0121	0.0015	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0120	0.0225	0.0386	0.0270	0.0120	0.0000	0.0048	0.0032	0.0000	0.0273	0.0095	0.0203	0.0718	0.0000	0.0220	0.0000	0.0000	0.0000	0.0000	0.0030	0.0000	0.0000	0.0654	0.0056	0.0270
ENSG00000247679	0.0269	0.0177	0.0182	0.0212	0.0319	0.0432	0.0221	0.0000	0.0260	0.0191	0.0086	0.0230	0.0410	0.0276	0.0234	0.0314	0.0243	0.0000	0.0207	0.0283	0.0202	0.0154	0.0142	0.0000	0.0081	0.0481	0.0087	0.0197	0.0116	0.0617	0.0129	0.0000	0.0160	0.0294
FABP6-AS1	0.0000	0.0250	0.0002	0.0016	0.0022	0.0076	0.0000	0.0000	0.0000	0.0008	0.3510	0.0000	0.0357	0.0474	0.0000	0.0000	0.0134	0.0000	0.0049	0.0022	0.0028	0.0000	0.0200	0.0000	0.0000	0.0000	0.0155	0.0000	0.0011	0.0000	0.0117	0.0000	0.0113	0.0233
STX18-AS1	0.0785	0.2447	0.0441	0.0721	0.1400	0.2085	0.0934	0.0948	0.2153	0.3043	0.1241	0.6469	0.2379	0.2137	0.1646	0.0877	0.0690	0.0715	0.3229	0.1863	0.1618	0.1527	0.0060	0.0881	0.1146	0.0965	0.0869	0.0248	0.1292	0.1514	0.1372	0.0685	0.1365	0.3603
ARHGAP11B-DT	0.0010	0.0231	0.0024	0.0043	0.0052	0.0079	0.0396	0.0458	0.0195	0.0141	0.0212	0.0261	0.0099	0.0103	0.0648	0.0236	0.0240	0.0000	0.0101	0.0557	0.0092	0.0055	0.0000	0.0000	0.0000	0.0000	0.0152	0.0000	0.0013	0.0000	0.0147	0.0000	0.0165	0.0000
KCTD13-DT	0.0019	0.0162	0.0040	0.0029	0.0175	0.0081	0.0149	0.0000	0.0000	0.0070	0.0059	0.0213	0.0221	0.0064	0.0052	0.0006	0.0084	0.0000	0.0134	0.0121	0.0062	0.0000	0.0000	0.0000	0.0000	0.0095	0.0050	0.0000	0.0033	0.0000	0.0002	0.0000	0.0153	0.0547
USP51	0.0413	0.0038	0.0170	0.0162	0.0295	0.0147	0.0445	0.0927	0.0023	0.0006	0.0000	0.0111	0.0039	0.0252	0.1334	0.0457	0.0080	0.0235	0.0065	0.0004	0.0619	0.0527	0.0000	0.0000	0.0333	0.0109	0.0360	0.0000	0.0010	0.0453	0.0161	0.0000	0.0016	0.0000
TUBAP14	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0010	0.0003	0.0005	0.0001	0.0000	0.0000	0.0000	0.0001	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0031	0.0000	0.0005	0.0000
ENSG00000247765	0.0000	0.0059	0.0047	0.0140	0.0076	0.0175	0.0000	0.0390	0.0229	0.0016	0.0011	0.0000	0.0030	0.0033	0.0256	0.0137	0.1012	0.0000	0.0020	0.0048	0.0092	0.0686	0.0000	0.0000	0.0000	0.0000	0.1258	0.0000	0.0011	0.0000	0.0022	0.0000	0.0050	0.0000
PCED1B-AS1	0.4282	0.0000	0.3672	0.5440	0.5712	0.7573	0.0050	0.0000	0.0000	0.0005	0.0007	0.0000	0.0016	0.0009	0.0000	0.0079	0.7298	0.0953	0.0013	0.0156	0.0273	0.0196	0.0243	0.0000	0.0073	0.6344	0.4818	0.0464	0.0007	0.0000	0.2244	1.0631	0.0003	0.0000
SNCA-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0003	0.0000	0.0080	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0030	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MOCS2-DT	0.0000	0.0133	0.0035	0.0044	0.0107	0.0092	0.0000	0.0060	0.0000	0.0124	0.0091	0.0195	0.0110	0.0075	0.0390	0.0090	0.0000	0.0000	0.0267	0.0151	0.0109	0.0000	0.0000	0.0000	0.0184	0.0000	0.0000	0.0000	0.0170	0.0000	0.0068	0.0000	0.0099	0.0881
NR2F2-AS1	0.0064	0.0208	0.0013	0.0008	0.0055	0.0000	0.1989	4.8347	2.8792	0.0146	0.0007	0.0066	0.0132	0.0054	0.7515	0.4447	0.0000	0.0000	0.0133	0.0107	0.0000	0.0084	0.0000	0.0000	2.1250	0.0092	0.0000	0.0000	0.0109	5.1349	0.0025	0.0000	0.0169	0.0000
TMEM161B-DT	0.2104	0.4619	0.0988	0.1644	0.2191	0.3164	0.1122	0.4213	0.3320	0.5865	0.5649	0.7657	0.5109	0.3599	0.5038	0.3316	0.1518	0.1950	0.5973	0.6789	0.1174	0.1758	0.1741	0.2981	0.4361	0.1438	0.2692	0.0982	0.2668	0.5315	0.2012	0.0000	0.4593	0.8131
ENSG00000247853	0.1269	0.0290	0.0658	0.0768	0.1084	0.1401	0.0363	0.0572	0.1745	0.0227	0.0426	0.0201	0.0230	0.0517	0.0464	0.0788	0.0803	0.2644	0.0458	0.0133	0.0288	0.1666	0.0490	0.0000	0.0253	0.0747	0.2250	0.0381	0.0170	0.0450	0.0519	0.1868	0.0298	0.0283
DGAT2-DT	0.0031	0.0028	0.0002	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0027	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000
SPCS2P3	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0030	0.0000	0.0000	0.0000
FAM174A-DT	0.0054	0.0074	0.0044	0.0070	0.0142	0.0128	0.0050	0.0033	0.0000	0.0076	0.0032	0.0465	0.0098	0.0030	0.0101	0.0210	0.0073	0.0000	0.0162	0.0443	0.0107	0.0000	0.0365	0.0000	0.0000	0.0000	0.0481	0.0000	0.0037	0.0000	0.0095	0.0000	0.0135	0.0000
TM7SF3-AS1	0.0015	0.0008	0.0019	0.0012	0.0014	0.0007	0.0000	0.0148	0.0000	0.0013	0.0015	0.0036	0.0043	0.0000	0.0000	0.0039	0.0000	0.0000	0.0009	0.0093	0.0047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0021	0.0832	0.0014	0.0000
HMGN1P12	0.0000	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0230	0.0000	0.0001	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0098	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000247925	0.0677	0.4263	0.2463	0.4426	0.6505	0.7407	0.8249	0.2487	0.9404	0.5296	0.7446	0.6703	0.0582	0.4369	0.6640	0.2482	1.1484	0.2331	0.2063	0.0407	0.1251	0.5848	0.2232	0.4925	0.0512	0.0948	1.0479	1.0036	0.2441	0.0890	0.0997	0.0831	0.6516	0.0918
ENSG00000247934	0.0034	0.0266	0.0102	0.0149	0.0329	0.0204	0.0052	0.0346	0.0403	0.0077	0.0070	0.0120	0.0117	0.0521	0.0088	0.0305	0.0000	0.0000	0.0240	0.0132	0.0109	0.0000	0.0000	0.0000	0.0281	0.0199	0.0266	0.0000	0.0044	0.0000	0.0135	0.0000	0.0454	0.0000
SEC24B-AS1	0.0197	0.0571	0.0097	0.0193	0.0356	0.0106	0.0220	0.2486	0.1223	0.0445	0.0166	0.0670	0.0402	0.0200	0.0684	0.0456	0.0330	0.0513	0.0608	0.0950	0.0211	0.0635	0.0000	0.0000	0.0228	0.0000	0.0216	0.0000	0.0133	0.0000	0.0178	0.0000	0.0517	0.0000
ENSG00000247970	0.0194	0.0266	0.0072	0.0092	0.0159	0.0207	0.0338	0.0000	0.0000	0.0851	0.0966	0.0575	0.0172	0.0801	0.0091	0.0065	0.0153	0.0000	0.0133	0.0661	0.0023	0.0101	0.0000	0.0000	0.0283	0.0135	0.0278	0.0000	0.0208	0.0288	0.0024	0.0000	0.0413	0.0000
LINC00926	1.8056	0.0453	0.0053	0.0116	0.0048	0.0132	0.0346	0.0300	0.0129	0.0338	0.0841	0.0302	0.0372	0.0351	0.0192	0.0360	0.0155	0.0000	0.1005	0.0613	0.0350	0.0077	0.0503	0.0000	0.0000	0.0000	0.0106	0.0120	0.0582	0.0349	0.0081	0.0000	0.0279	0.0000
FOXD1-AS1	0.0000	0.0014	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000
NRAV	0.0183	0.0326	0.0130	0.0107	0.0162	0.0126	0.0054	0.0012	0.0003	0.0118	0.0029	0.0096	0.0123	0.0178	0.0044	0.0164	0.0322	0.0000	0.0316	0.0124	0.0033	0.0048	0.0000	0.0000	0.0000	0.0000	0.0060	0.0000	0.0078	0.0453	0.0165	0.0000	0.0395	0.0558
