gene	tau	top_cell_state	top_expr	n_states
ADAM22	0.9185	endothelial cell of lymphatic vessel	0.6753	34
SYPL1	0.7135	endothelial cell of lymphatic vessel	1.8056	34
CYB561	0.5665	intestinal crypt stem cell of small intestine	0.2464	34
SPAG9	0.6671	neutrophil	11.8137	34
CELSR3	0.8772	enteroendocrine cell of small intestine	0.0584	34
AASS	0.8952	pericyte	4.3875	34
PLEKHG6	0.8072	enterocyte of epithelium proper of jejunum	1.4258	34
SS18L2	0.6198	naive thymus-derived CD4-positive, alpha-beta T cell	0.9666	34
MPND	0.5527	paneth cell of epithelium of small intestine	0.2245	34
MGST1	0.9001	fibroblast	3.7558	34
CRY1	0.6566	activated CD4-positive, alpha-beta T cell	6.0777	34
PGLYRP1	0.9891	neutrophil	0.1417	34
NFIX	0.7894	endothelial cell of lymphatic vessel	1.2489	34
ST3GAL1	0.6757	gamma-delta T cell	2.7916	34
MMP25	0.9872	neutrophil	1.7575	34
IL32	0.8812	regulatory T cell	13.2017	34
PKD1	0.7737	myofibroblast cell	0.5919	34
MAPK8IP2	0.9906	enteroendocrine cell of small intestine	0.1551	34
MED24	0.6017	endothelial cell of arteriole	0.4181	34
RHOBTB2	0.8623	enterocyte of epithelium proper of ileum	0.5445	34
HEATR5B	0.7420	macrophage	1.7319	34
SEC62	0.5136	endothelial cell of venule	3.6522	34
RPS20	0.6379	naive thymus-derived CD4-positive, alpha-beta T cell	20.7075	34
CSDE1	0.4488	myofibroblast cell	3.1396	34
UBE3C	0.5123	enterocyte of epithelium proper of jejunum	1.6946	34
REV3L	0.7602	myeloid dendritic cell	8.4972	34
TENM1	0.9195	neutrophil	0.8286	34
PAX7	0.9542	innate lymphoid cell	0.0440	34
MASP2	0.8496	endothelial cell of arteriole	0.0311	34
IYD	0.8499	enterocyte of epithelium proper of ileum	0.6284	34
FAM76A	0.6088	pericyte	0.5075	34
TRAF3IP3	0.7806	activated CD8-positive, alpha-beta T cell	0.9013	34
POMT2	0.6340	enteroendocrine cell of small intestine	0.1144	34
VTA1	0.5120	pericyte	0.7202	34
MLXIPL	0.8370	enterocyte of epithelium proper of jejunum	1.3172	34
BAZ1B	0.3001	innate lymphoid cell	0.9771	34
RANBP9	0.6412	innate lymphoid cell	2.6446	34
ETV7	0.9049	intestinal tuft cell	0.2749	34
SPRTN	0.6641	neutrophil	0.4350	34
METTL13	0.5884	fibroblast	0.1392	34
DYRK4	0.6640	small intestine goblet cell	0.1863	34
